reaction	linear_coefficient
rxn31786_c	[0.010477018993765406]
rxn16800_c	[0.00730172538784979]
rxn34185_c	[0.025031172973756705]
rxn30364_c	[0.008012179208351457]
rxn24829_c	[0.006744961577497463]
rxn33981_c	[0.03390169638973466]
rxn01303_c	[0.03390169638973466]
rxn08040_c	[0.010477018993765406]
rxn16246_c	[0.012846164999275047]
rxn04895_c	[0.012846164999275047]
rxn04832_c	[0.012846164999275047]
rxn04830_c	[0.012846164999275047]
rxn04873_c	[0.012846164999275047]
rxn15652_c	[0.012846164999275047]
rxn11808_c	[0.012846164999275047]
rxn04811_c	[0.012846164999275047]
rxn04894_c	[0.012846164999275047]
rxn04903_c	[0.012846164999275047]
rxn04886_c	[0.012846164999275047]
rxn31883_c	[0.012846164999275047]
rxn04810_c	[0.012846164999275047]
rxn04872_c	[0.012846164999275047]
rxn07181_c	[0.012846164999275047]
rxn04833_c	[0.012846164999275047]
rxn32152_c	[0.012846164999275047]
rxn04809_c	[0.012846164999275047]
rxn04831_c	[0.012846164999275047]
rxn04896_c	[0.012846164999275047]
rxn24149_c	[0.008539944903581268]
rxn06600_c	[0.008539944903581268]
rxn19763_c	[0.0028998115122517037]
rxn03541_c	[0.027554008989415686]
rxn16758_c	[0.06121212121212121]
rxn14399_c	[0.0038973466724662896]
rxn16149_c	[0.006744961577497463]
rxn24142_c	[0.07661012034217776]
rxn05054_c	[0.07661012034217776]
rxn35544_c	[0.03136146150500218]
rxn37337_c	[0.002624329418587792]
rxn27686_c	[0.010477018993765406]
rxn06983_c	[0.26826446280991734]
rxn15255_c	[0.0068899521531100485]
rxn03064_c	[0.00403363781354212]
rxn31801_c	[0.008012179208351457]
rxn28081_c	[0.028307959982601133]
rxn16679_c	[0.010804697694649847]
rxn33490_c	[0.0008989415687980282]
rxn23129_c	[0.0008989415687980282]
rxn16683_c	[0.225115267507612]
rxn16583_c	[0.004091634043787154]
rxn02011_c	[0.011700739451935624]
rxn06090_c	[0.04658257213281136]
rxn31426_c	[0.0004088734232274902]
rxn35442_c	[0.010477018993765406]
rxn01667_c	[0.010477018993765406]
rxn35242_c	[0.010477018993765406]
rxn35430_c	[0.010477018993765406]
rxn35439_c	[0.010477018993765406]
rxn34708_c	[0.010477018993765406]
rxn38011_c	[0.010477018993765406]
rxn20003_c	[0.036427432216905906]
rxn32053_c	[0.036427432216905906]
rxn30128_c	[0.00406843555168914]
rxn33706_c	[0.02495287806292591]
rxn02341_c	[0.03670291431056981]
rxn27919_c	[0.008725532840365376]
rxn11772_c	[0.008725532840365376]
rxn38134_c	[0.008725532840365376]
rxn38278_c	[0.010477018993765406]
rxn32389_c	[0.010477018993765406]
rxn03869_c	[0.010477018993765406]
rxn06522_c	[0.010477018993765406]
rxn38142_c	[0.010477018993765406]
rxn27933_c	[0.007385819921705089]
rxn27932_c	[0.007385819921705089]
rxn20661_c	[0.010442221255618384]
rxn00598_c	[0.008012179208351457]
rxn07689_c	[0.008012179208351457]
rxn19982_c	[0.008012179208351457]
rxn19979_c	[0.008012179208351457]
rxn07681_c	[0.008012179208351457]
rxn07884_c	[0.008012179208351457]
rxn03866_c	[0.008012179208351457]
rxn19989_c	[0.008012179208351457]
rxn19986_c	[0.008012179208351457]
rxn33120_c	[0.008012179208351457]
rxn07685_c	[0.008012179208351457]
rxn07880_c	[0.008012179208351457]
rxn19988_c	[0.008012179208351457]
rxn33363_c	[0.008012179208351457]
rxn03174_c	[0.03732057416267942]
rxn03421_c	[0.03732057416267942]
rxn00302_c	[0.03732057416267942]
rxn03419_c	[0.03732057416267942]
rxn34304_c	[0.0018442801217920836]
rxn33231_c	[0.0018442801217920836]
rxn35518_c	[0.0018442801217920836]
rxn30731_c	[0.025132666376685518]
rxn03263_c	[0.025132666376685518]
rxn33299_c	[0.010477018993765406]
rxn28988_c	[0.03589096708713933]
rxn34576_c	[0.03589096708713933]
rxn12049_c	[0.03589096708713933]
rxn29959_c	[0.03589096708713933]
rxn33398_c	[0.03589096708713933]
rxn32371_c	[0.010477018993765406]
rxn33083_c	[0.011170073945193563]
rxn27109_c	[0.010477018993765406]
rxn15679_c	[0.00793098448600841]
rxn33738_c	[0.00793098448600841]
rxn07317_c	[0.00793098448600841]
rxn35629_c	[0.00793098448600841]
rxn38829_c	[0.006739161954472959]
rxn32605_c	[0.006739161954472959]
rxn35448_c	[0.09623604465709729]
rxn00407_c	[0.04658257213281136]
rxn32567_c	[0.04658257213281136]
rxn00745_c	[0.08780629259098159]
rxn31834_c	[0.035400898941568795]
rxn03513_c	[0.010477018993765406]
rxn04047_c	[0.010477018993765406]
rxn34567_c	[0.026950848194867334]
rxn01669_c	[0.012419892706974045]
rxn24177_c	[0.010477018993765406]
rxn31885_c	[0.010477018993765406]
rxn35431_c	[0.06470639408438451]
rxn35428_c	[0.06470639408438451]
rxn38060_c	[0.0020095693779904307]
rxn01016_c	[0.0020095693779904307]
rxn30680_c	[0.0020095693779904307]
rxn02118_c	[0.004552704074235175]
rxn02415_c	[0.004552704074235175]
rxn33766_c	[0.004552704074235175]
rxn00921_c	[0.004552704074235175]
rxn14216_c	[0.04741771784833986]
rxn13976_c	[0.04741771784833986]
rxn15005_c	[0.008539944903581268]
rxn33380_c	[0.07520371175873568]
rxn38824_c	[0.14686095403798752]
rxn15633_c	[0.007809192402493838]
rxn14044_c	[0.02448890822096564]
rxn07490_c	[0.02448890822096564]
rxn00519_c	[0.0581325213861099]
rxn00305_c	[0.0581325213861099]
rxn02775_c	[0.03188632738871973]
rxn14270_c	[0.03188632738871973]
rxn32752_c	[0.006739161954472959]
rxn32758_c	[0.006739161954472959]
rxn16213_c	[0.006739161954472959]
rxn00346_c	[0.011448455850369726]
rxn33164_c	[0.004929679570827896]
rxn34626_c	[0.004929679570827896]
rxn31361_c	[0.004929679570827896]
rxn31792_c	[0.004929679570827896]
rxn27667_c	[0.004929679570827896]
rxn30334_c	[0.004929679570827896]
rxn33391_c	[0.004929679570827896]
rxn37937_c	[0.006034507756995795]
rxn38148_c	[0.04741771784833986]
rxn38254_c	[0.006034507756995795]
rxn37661_c	[0.010477018993765406]
rxn33328_c	[0.04741771784833986]
rxn34273_c	[0.006739161954472959]
rxn38499_c	[0.006739161954472959]
rxn31366_c	[0.006739161954472959]
rxn27536_c	[0.006739161954472959]
rxn31098_c	[0.002659127156734812]
rxn27525_c	[0.004755690880092794]
rxn15754_c	[0.01588226765260258]
rxn30860_c	[0.0030100043497172688]
rxn33762_c	[0.0030100043497172688]
rxn02400_c	[0.0030100043497172688]
rxn31973_c	[0.0030100043497172688]
rxn29952_c	[0.0030100043497172688]
rxn31059_c	[0.0030100043497172688]
rxn32982_c	[0.0030100043497172688]
rxn30907_c	[0.0030100043497172688]
rxn29955_c	[0.0030100043497172688]
rxn30908_c	[0.0030100043497172688]
rxn32378_c	[0.0030100043497172688]
rxn33474_c	[0.0030100043497172688]
rxn29956_c	[0.0030100043497172688]
rxn04070_c	[0.014675946063505871]
rxn35537_c	[0.23427577207481512]
rxn35538_c	[0.23427577207481512]
rxn35539_c	[0.23427577207481512]
rxn31689_c	[0.009015513991590547]
rxn32991_c	[0.009015513991590547]
rxn02285_c	[0.04860664056836306]
rxn02284_c	[0.04860664056836306]
rxn38130_c	[0.004488908220965637]
rxn15964_c	[0.004488908220965637]
rxn15882_c	[0.08780629259098159]
rxn38274_c	[0.0147223430477019]
rxn38811_c	[0.011219370740901841]
rxn32093_c	[0.011219370740901841]
rxn33327_c	[0.011219370740901841]
rxn32850_c	[0.011219370740901841]
rxn32210_c	[0.011219370740901841]
rxn33082_c	[0.011219370740901841]
rxn38132_c	[0.006744961577497463]
rxn00510_c	[0.009163404378715384]
rxn31104_c	[0.010477018993765406]
rxn14132_c	[0.008972016818906772]
rxn32044_c	[0.010404523705959113]
rxn30045_c	[0.06613020153690011]
rxn01022_c	[0.04658257213281136]
rxn00133_c	[0.06121212121212121]
rxn02020_c	[0.06121212121212121]
rxn00714_c	[0.06121212121212121]
rxn32324_c	[0.06121212121212121]
rxn32021_c	[0.04860664056836306]
rxn15536_c	[0.026153400028998113]
rxn15315_c	[0.026153400028998113]
rxn03540_c	[0.012399594026388284]
rxn02128_c	[0.0625518341307815]
rxn12510_c	[0.0625518341307815]
rxn03047_c	[0.0625518341307815]
rxn38070_c	[0.014675946063505871]
rxn03372_c	[0.0023836450630709003]
rxn27688_c	[0.0023836450630709003]
rxn15146_c	[0.010404523705959113]
rxn02943_c	[0.010404523705959113]
rxn38359_c	[0.06003769754965927]
rxn33404_c	[0.06003769754965927]
rxn34232_c	[0.06003769754965927]
rxn02405_c	[0.009560678555893867]
rxn11766_c	[0.010477018993765406]
rxn32969_c	[0.010477018993765406]
rxn11765_c	[0.010477018993765406]
rxn38024_c	[0.010477018993765406]
rxn32386_c	[0.010477018993765406]
rxn11773_c	[0.010477018993765406]
rxn33365_c	[0.010477018993765406]
rxn16623_c	[0.0367580107293026]
rxn22826_c	[0.0367580107293026]
rxn22827_c	[0.0367580107293026]
rxn35454_c	[0.010477018993765406]
rxn07474_c	[0.004720893141945774]
rxn38043_c	[0.011207771494852834]
rxn32242_c	[0.011207771494852834]
rxn32174_c	[0.0034188777729447584]
rxn05114_c	[0.04741771784833986]
rxn20046_c	[0.08780629259098159]
rxn27816_c	[0.010477018993765406]
rxn27815_c	[0.010477018993765406]
rxn32932_c	[0.010477018993765406]
rxn33143_c	[0.010477018993765406]
rxn10504_c	[0.015453095548789328]
rxn10505_c	[0.015453095548789328]
rxn33750_c	[0.0069711468754530955]
rxn04841_c	[0.010767000144990576]
rxn04840_c	[0.010767000144990576]
rxn33349_c	[0.010767000144990576]
rxn02986_c	[0.010477018993765406]
rxn16806_c	[0.010477018993765406]
rxn32413_c	[0.02321589096708714]
rxn35418_c	[0.02321589096708714]
rxn28089_c	[0.02321589096708714]
rxn30338_c	[0.02321589096708714]
rxn33484_c	[0.02321589096708714]
rxn35424_c	[0.02321589096708714]
rxn33568_c	[0.052527185732927355]
rxn00367_c	[0.052527185732927355]
rxn00463_c	[0.052527185732927355]
rxn32148_c	[0.052527185732927355]
rxn02176_c	[0.052527185732927355]
rxn29978_c	[0.052527185732927355]
rxn02154_c	[0.052527185732927355]
rxn38181_c	[0.052527185732927355]
rxn33891_c	[0.052527185732927355]
rxn08113_c	[0.010477018993765406]
rxn38284_c	[0.010477018993765406]
rxn33610_c	[0.04860664056836306]
rxn31994_c	[0.006811657242279252]
rxn27997_c	[0.00968537045092069]
rxn03901_c	[0.0149804262722923]
rxn01610_c	[0.0026446280991735535]
rxn32473_c	[0.004755690880092794]
rxn27685_c	[0.004755690880092794]
rxn16520_c	[0.0036073655212411192]
rxn06112_c	[0.03136146150500218]
rxn33637_c	[0.006715963462374946]
rxn35351_c	[0.006715963462374946]
rxn32500_c	[0.006715963462374946]
rxn32798_c	[0.006715963462374946]
rxn31783_c	[0.006715963462374946]
rxn31982_c	[0.006715963462374946]
rxn16837_c	[0.101267217630854]
rxn12005_c	[0.101267217630854]
rxn07492_c	[0.04741771784833986]
rxn00629_c	[0.016250543714658547]
rxn30618_c	[0.03648832825866319]
rxn20619_c	[0.010810497317674351]
rxn30763_c	[0.225115267507612]
rxn02286_c	[0.010477018993765406]
rxn31528_c	[0.035400898941568795]
rxn35554_c	[0.0036247643903146295]
rxn30541_c	[0.0036247643903146295]
rxn35553_c	[0.0036247643903146295]
rxn35551_c	[0.0036247643903146295]
rxn35549_c	[0.0036247643903146295]
rxn31250_c	[0.0036247643903146295]
rxn31394_c	[0.00854284471509352]
rxn15833_c	[0.09623604465709729]
rxn03439_c	[0.010709003914745541]
rxn16607_c	[0.010709003914745541]
rxn03182_c	[0.010709003914745541]
rxn06864_c	[0.046034507756995795]
rxn00792_c	[0.046034507756995795]
rxn01146_c	[0.20503407278526894]
rxn01648_c	[0.20503407278526894]
rxn01358_c	[0.20503407278526894]
rxn30188_c	[0.20503407278526894]
rxn30189_c	[0.20503407278526894]
rxn33382_c	[0.20503407278526894]
rxn01366_c	[0.20503407278526894]
rxn03030_c	[0.010477018993765406]
rxn35519_c	[0.002659127156734812]
rxn38539_c	[0.010477018993765406]
rxn33241_c	[0.004755690880092794]
rxn32343_c	[0.004755690880092794]
rxn35480_c	[0.004755690880092794]
