reaction	linear_coefficient
rxn32720_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn06890_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn04234_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn31901_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn03598_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn33557_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn02122_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn30209_c	[0.025763025126124047, 0.02696218532976661, 0.029669855918720626, 0.023305097533288643]
rxn38233_c	[0.028143549571714912, 0.028120718617978352, 0.030073966759783074, 0.05422101456451033]
rxn37640_c	[0.07825263345593085, 0.09156044614338091, 0.09041582248192268, 0.07019340053685384]
rxn32752_c	[0.004548912394115266, 0.0030676270397185946, 0.003058726050682692, 0.006484376364755255]
rxn32758_c	[0.004548912394115266, 0.0030676270397185946, 0.003058726050682692, 0.006484376364755255]
rxn16213_c	[0.004548912394115266, 0.0030676270397185946, 0.003058726050682692, 0.006484376364755255]
rxn00988_c	[0.038341413690273426, 0.04091224902113596, 0.04190779359052458, 0.035187013910515694]
rxn06112_c	[0.00923992988930652, 0.010993076203251477, 0.012195293255695482, 0.008441210267165905]
rxn33884_c	[0.007168153281937878, 0.00875275166325243, 0.011331743728174625, 0.005336270862983463]
rxn31942_c	[0.11245304929163936, 0.11531270415451005, 0.11154613314370335, 0.08615856574507093]
rxn32204_c	[0.11245304929163936, 0.11531270415451005, 0.11154613314370335, 0.08615856574507093]
rxn16223_c	[0.013952416564332623, 0.015533949050061157, 0.01639576872487661, 0.01320693121860809]
rxn16221_c	[0.013952416564332623, 0.015533949050061157, 0.01639576872487661, 0.01320693121860809]
rxn32044_c	[0.009304337453348712, 0.010884673399865073, 0.011289099302416214, 0.009618198930971485]
rxn16742_c	[0.2901535151387492, 0.41921393181643557, 0.3106422736963477, 0.2755887527806184]
rxn13975_c	[0.008542181291118259, 0.008776841181539841, 0.010020427783265156, 0.005740635064768562]
rxn33387_c	[0.008542181291118259, 0.008776841181539841, 0.010020427783265156, 0.005740635064768562]
rxn14156_c	[0.008542181291118259, 0.008776841181539841, 0.010020427783265156, 0.005740635064768562]
rxn32196_c	[0.008542181291118259, 0.008776841181539841, 0.010020427783265156, 0.005740635064768562]
rxn14059_c	[0.008542181291118259, 0.008776841181539841, 0.010020427783265156, 0.005740635064768562]
rxn27543_c	[0.008542181291118259, 0.008776841181539841, 0.010020427783265156, 0.005740635064768562]
rxn33015_c	[0.008542181291118259, 0.008776841181539841, 0.010020427783265156, 0.005740635064768562]
rxn14278_c	[0.008542181291118259, 0.008776841181539841, 0.010020427783265156, 0.005740635064768562]
rxn13995_c	[0.008542181291118259, 0.008776841181539841, 0.010020427783265156, 0.005740635064768562]
rxn14248_c	[0.008542181291118259, 0.008776841181539841, 0.010020427783265156, 0.005740635064768562]
rxn01107_c	[0.03300632057101868, 0.031047594218560872, 0.03851756212390375, 0.035187013910515694]
