reaction	linear_coefficient
rxn05918_c	[0.049379573152127626, 0.043906449418729086, 0.02324596569768589, 0.021061402139471986]
rxn00297_c	[0.020726803736033732, 0.019030484945404384, 0.01968568322518562, 0.0223415437293501]
rxn32155_c	[0.0015215419479991245, 0.001238300026508415, 0.00168183206083291, 0.002663410605456184]
rxn31412_c	[0.0015215419479991245, 0.001238300026508415, 0.00168183206083291, 0.002663410605456184]
rxn35692_c	[0.0015215419479991245, 0.001238300026508415, 0.00168183206083291, 0.002663410605456184]
rxn31441_c	[0.0015215419479991245, 0.001238300026508415, 0.00168183206083291, 0.002663410605456184]
rxn35691_c	[0.0015215419479991245, 0.001238300026508415, 0.00168183206083291, 0.002663410605456184]
rxn27956_c	[0.0015215419479991245, 0.001238300026508415, 0.00168183206083291, 0.002663410605456184]
rxn31439_c	[0.0015215419479991245, 0.001238300026508415, 0.00168183206083291, 0.002663410605456184]
rxn31451_c	[0.0015215419479991245, 0.001238300026508415, 0.00168183206083291, 0.002663410605456184]
rxn35693_c	[0.0015215419479991245, 0.001238300026508415, 0.00168183206083291, 0.002663410605456184]
rxn35429_c	[0.0032278979333124668, 0.0027787659925241803, 0.002619211747417991, 0.001937842991686855]
rxn35443_c	[0.0032278979333124668, 0.0027787659925241803, 0.002619211747417991, 0.001937842991686855]
rxn31257_c	[0.017804481462826663, 0.014176638215392244, 0.013990991606934783, 0.016620188913849462]
rxn38489_c	[0.013651180973313113, 0.014176638215392244, 0.013990991606934783, 0.01515056788317739]
rxn31255_c	[0.017804481462826663, 0.014176638215392244, 0.013990991606934783, 0.016620188913849462]
rxn31254_c	[0.017804481462826663, 0.014176638215392244, 0.013990991606934783, 0.016620188913849462]
rxn38492_c	[0.017804481462826663, 0.014176638215392244, 0.013990991606934783, 0.016620188913849462]
rxn07573_c	[0.017804481462826663, 0.014176638215392244, 0.013990991606934783, 0.016620188913849462]
rxn31256_c	[0.017804481462826663, 0.014176638215392244, 0.013990991606934783, 0.016620188913849462]
rxn38484_c	[0.017804481462826663, 0.014176638215392244, 0.013990991606934783, 0.016620188913849462]
rxn03491_c	[0.13681405446329079, 0.15227882109318258, 0.09928374141684966, 0.11130445180176311]
rxn13947_c	[0.018772417822690655, 0.018312239921938644, 0.01927640477250932, 0.02390359375138128]
rxn16611_c	[0.018772417822690655, 0.018312239921938644, 0.01927640477250932, 0.02390359375138128]
rxn03126_c	[0.007851572213738365, 0.005733623986246265, 0.0034025619085110625, 0.004100681484290976]
rxn35449_c	[0.0225932869728715, 0.021244658529266804, 0.018536353240080152, 0.02053310132799679]
rxn33067_c	[0.015807894843565245, 0.016914806620787228, 0.016869143321567456, 0.019337601376485384]
rxn33490_c	[0.0007559335445104823, 0.0008679578249191217, 0.0006256295971038647, 0.0008564237453847944]
rxn03372_c	[0.0007559335445104823, 0.0008679578249191217, 0.0006256295971038647, 0.0008564237453847944]
rxn27688_c	[0.0007559335445104823, 0.0008679578249191217, 0.0006256295971038647, 0.0008564237453847944]
rxn23129_c	[0.0007559335445104823, 0.0008679578249191217, 0.0006256295971038647, 0.0008564237453847944]
rxn38696_c	[0.05855686602606076, 0.061316472713971476, 0.056991634418837325, 0.064646294931541]
rxn32682_c	[0.010583743383398863, 0.015527993270089373, 0.018536353240080152, 0.02053310132799679]
rxn14089_c	[0.010583743383398863, 0.015527993270089373, 0.018536353240080152, 0.01908804309009261]
rxn38034_c	[0.010583743383398863, 0.015527993270089373, 0.018536353240080152, 0.01908804309009261]
rxn11834_c	[0.010583743383398863, 0.015527993270089373, 0.018536353240080152, 0.02053310132799679]
rxn11838_c	[0.010583743383398863, 0.015527993270089373, 0.018536353240080152, 0.02053310132799679]
rxn31891_c	[0.010583743383398863, 0.015527993270089373, 0.018536353240080152, 0.01908804309009261]
rxn05871_c	[0.010583743383398863, 0.015527993270089373, 0.018536353240080152, 0.01908804309009261]
rxn38318_c	[0.010583743383398863, 0.015527993270089373, 0.018536353240080152, 0.01908804309009261]
