lbj:LBJ_0002	1926.744779	2284.485211	2265.586589	2277.648482
metc:MTCT_1105	3095.917889	3249.641882	3168.03233	3013.036155
cbi:CLJ_B0032	6758.139353	5670.582921	5350.952133	4608.530818
lbj:LBJ_0018	848.5177739	1060.215787	1221.05731	1797.783309
ceu:A7L45_06245	4921.403089	4162.669361	4085.116981	4071.629373
lbj:LBJ_0033	817.5773468	685.3455633	646.6953736	777.9747568
lbj:LBJ_0034	3135.296614	2242.321893	2170.86423	2143.042879
hebr:AEBR_0662	8567.685544	9324.226047	9715.930627	10871.87402
lbj:LBJ_0039	3360.317902	3625.278712	4298.672843	5019.952463
lbj:LBJ_0040	9777.174968	11534.3505	13429.90819	14374.66164
ceb:B0D95_03505	613.1830101	747.4406311	901.5846288	898.8916545
hhy:Halhy_4875	1341.68943	1553.909907	1549.141115	1908.053436
lbj:LBJ_0045	1401.695107	1846.753313	1791.974797	1724.77688
aoz:HUE56_20200	1106.354666	1050.249912	1407.91869	1603.099499
lbj:LBJ_0053	8140.145097	5524.161218	4026.561341	4196.348688
rev:HUE57_01805	4251.027168	4367.353103	3962.839027	4787.244471
lbj:LBJ_0062	1312.624181	1153.741692	1344.196376	1505.757594
lbl:LBL_3017	1677.346185	1727.929418	1908.224964	1943.796167
cbv:U729_2196	3969.750558	6339.829763	6006.25863	6823.819641
pgs:CPT03_09920	1464.51355	1464.217031	1295.112972	1416.781009
lbj:LBJ_0069	403.1631412	449.2309844	437.445073	505.7216161
lbj:LBJ_0070	1234.804318	1382.190213	1590.474507	1815.274433
lbj:LBJ_0071	20179.7216	16817.7975	12887.40741	12756.35246
lbj:LBJ_0086	23358.14729	28145.93105	26563.59372	38586.93955
lbj:LBJ_0090	642.2482598	630.9165532	598.4730821	683.6747863
mbu:Mbur_1899	726.6312428	739.7745733	534.7507684	523.9732233
lbj:LBJ_0092	4051.320775	3560.883827	3317.865878	3432.823121
lbj:LBJ_0101	2792.13915	3290.271988	3119.810038	2747.627367
lbj:LBJ_0102	1734.539096	2064.469353	1760.11364	1857.101032
lbj:LBJ_0103	1940.80861	2171.027556	2159.66977	2115.665468
lbj:LBJ_0107	366.5971819	394.8019744	360.806074	456.29018
lbj:LBJ_0114	1587.33767	1600.672859	1394.140892	1518.685816
oxy:HCG48_15465	3380.944854	3368.465777	3213.671284	3102.01274
lbj:LBJ_0117	3073.41576	2474.603443	2021.891794	1974.215512
esj:SJ05684_b53010	9492.148003	9604.803761	9430.041327	10050.5517
ccl:Clocl_1669	6587.498209	5287.280033	4873.895892	4854.167031
ag:AAC25032	5708.977597	4385.751641	4046.366925	4885.34686
pth:PTH_0951	643.1858485	664.6472073	793.0844729	869.9932765
lbj:LBJ_0136	6903.465601	7715.88713	8211.567354	7218.510647
dao:Desac_2111	8726.138035	9232.999959	9866.625288	10736.50793
lbj:LBJ_0153	5411.761979	6806.69268	6052.758697	6275.510942
hhm:BN341_18130	3802.859769	3988.64985	4095.450329	3816.867355
lbj:LBJ_0160	14468.86882	9338.791557	6319.703525	5708.190151
amyt:AMYT_0392	5232.682537	4327.489602	2874.393019	2716.447538
toc:Toce_1656	699.4411705	844.7995645	809.4456075	798.5078149
mei:Msip34_0490	1312.624181	1356.892223	1163.362783	1041.102094
lbj:LBJ_0165	4178.832838	4696.993586	4547.534312	4130.186612
lbj:LBJ_0170	1786.106474	2269.153095	2489.475799	2552.183073
caba:SBC2_75270	31194.51365	21826.79964	14576.90983	12200.43893
hmo:HM1_1592	801.6383389	627.0835243	747.4455184	902.6940727
apm:HIMB5_00008340	1585.462492	1662.001321	1719.64136	1884.478443
lbj:LBJ_0184	1594.838379	2465.404174	2634.142674	1793.980891
arp:NIES39_E02730	1637.96746	959.7904309	639.8064749	792.4239459
gba:J421_2715	1235.741907	1179.039683	1416.529813	1397.008434
lbj:LBJ_0194	13648.47871	14266.53348	14242.79824	12135.03734
cfus:CYFUS_006241	559.7404542	485.2614559	458.9728817	451.7272782
ote:Oter_1332	463.168818	396.3351859	314.3060072	384.0442348
tsl:A3L11_05140	1120.418497	1036.451008	1248.612905	1200.803657
lbj:LBJ_0205	5173.614449	5084.129503	5661.813691	5072.425834
hgn:E6W36_08880	2527.739136	3048.791169	2974.282051	3606.973873
lbj:LBJ_0210	11544.52967	12562.36884	12776.32391	12776.88552
dwd:DSCW_56680	585.9929378	721.3760347	720.7510356	762.0046005
bsun:A4G13_10170	2121.763229	2032.271911	1831.585965	2094.371926
lbj:LBJ_0231	1624.841218	2112.765517	2579.892596	2586.404837
tim:GMBLW1_29770	3590.027134	2531.332271	2116.614152	2022.886465
lbl:LBL_2837	5040.476853	3558.58401	2736.615043	2959.802301
laj:A0128_20760	3949.123606	3277.23969	2704.753886	2879.951519
laj:A0128_16915	7151.926607	4933.874771	3466.838315	2955.239399
htu:Htur_2338	7021.601777	6828.157642	6357.592468	5590.315188
lst:LSS_18828	5197.991755	6493.150918	6373.953603	7194.175171
meku:HUW50_24170	6123.391802	7117.934625	6590.953915	6500.614097
lie:LIF_A2931	3090.292357	3042.658323	3076.754421	2301.983958
tig:THII_3121	2043.005778	2148.795989	3027.671017	3166.653849
mye:AB431_06460	3935.997364	4797.418943	4585.423255	4775.837217
laj:A0128_11770	9764.986315	9654.633136	8854.818279	9251.283399
scl:sce8975	7406.950733	7181.562904	7296.204928	7589.62666
lbj:LBJ_0270	996.6567885	1072.48148	1022.140358	1094.335948
fjo:Fjoh_4313	3597.527844	2529.032453	2240.614331	1704.243822
lbj:LBJ_0281	4541.679665	6697.068054	7197.177008	4380.385728
din:Selin_2550	10176.58775	10002.67216	8195.20622	9273.337424
lbj:LBJ_0289	3169.987396	3028.092813	3019.059893	3140.036922
sye:Syncc9902_0114	1246.992972	1511.746589	1705.863562	2343.050074
lwl:FHG68_02890	4179.770426	3907.389637	4421.811909	4133.98903
lbj:LBJ_0297	3440.950531	3443.593143	3868.116669	3809.262519
sok:D0B54_20820	12880.59357	12653.59493	12605.82367	12977.6532
lep:Lepto7376_3648	3359.380314	2877.071475	2798.615132	2904.286995
scl:sce7073	4286.655538	4949.973492	5526.619052	5162.923386
lbj:LBJ_0321	16607.50865	13380.3372	9346.51343	8144.779712
lbj:LBJ_0323	1768.292289	1497.181079	1518.14107	1779.531702
dsd:GD606_04755	827.8908225	859.3650743	731.0843838	835.771513
gai:IMCC3135_16340	1269.4951	1328.527809	1301.140758	1500.434208
lbj:LBJ_0332	4928.903798	3694.273232	3409.143787	2911.131348
lbj:LBJ_0338	1700.785903	1576.90808	2058.919625	2408.451667
mtai:Mtai_v1c04510	12146.46161	14712.69804	13154.35223	10288.58307
gme:Gmet_1528	469.7319389	313.5417622	283.3059626	388.6071366
lbj:LBJ_0346	2556.804386	2370.345058	1855.697111	1765.082513
lbj:LBJ_0347	3459.702305	3020.426755	2790.865121	2523.284695
lbj:LBJ_0348	9843.743766	10871.2365	11352.04409	10421.66771
lew:DAI21_21145	786.6369197	684.5789575	626.8897896	506.4820998
bof:FQV39_05315	1716.72491	2131.930662	2117.475265	2409.21215
dov:DSCO28_00810	2500.549064	2860.206148	3713.116446	4534.763905
lbj:LBJ_0367	14540.12557	14816.95643	17043.1356	16003.61758
lbj:LBJ_0368	9446.206157	11653.17439	12834.87955	12656.72911
lbj:LBJ_0369	2490.235588	3235.842978	3770.810974	3390.236037
rpne:NCTC8284_03738	600.0567683	562.6886392	597.6119698	1184.073017
caby:Cabys_2095	4818.268331	5623.053363	6785.565305	5747.7353
lbj:LBJ_0379	3413.760458	2797.344475	3201.615711	3127.869184
nmv:NITMOv2_0338	177234.2672	152791.4305	149060.2697	113354.6484
rau:MC5_02555	3579.713658	3795.465194	4012.783544	4516.512298
beba:BWI17_10595	8707.386261	11075.15364	11848.90591	11773.04713
lbj:LBJ_0387	791.3248632	989.6880561	966.1680549	932.3529344
sphc:CVN68_11335	2934.652632	2355.779548	1909.086076	1874.592156
lbj:LBJ_0391	2366.47388	1687.299312	1356.251949	1568.877735
lbj:LBJ_0392	3573.150537	2791.978234	2405.947901	2238.103333
ftu:FTT_1317c	2580.244104	3112.419448	3782.005434	4483.051018
lbj:LBJ_0395	2100.198689	1802.290178	1796.280359	1840.370393
sus:Acid_2404	12297.41339	8087.690931	5580.008018	5483.84748
lbj:LBJ_0407	1552.646888	1957.91115	2023.614019	2037.335654
lbj:LBJ_0408	1894.866764	2163.361498	2069.252973	2066.234032
lbj:LBJ_0410	7053.479793	7739.651909	8648.151315	7903.706401
pxv:FXF36_01135	915.0865716	1156.808115	1325.251904	1279.893955
lbj:LBJ_0416	944.1518213	809.5356989	874.890146	927.029549
beb:AEM42_03085	1085.727715	1130.743519	1005.779223	1114.869006
lbj:LBJ_0420	2486.485234	1409.788021	874.0290336	988.6287233
thf:MA03_04635	19048.05204	10839.80566	9596.236011	7955.419288
lbj:LBJ_0445	8328.600426	8112.222316	8237.400725	7967.587026
lbj:LBJ_0448	271.9007231	308.1755217	215.2780871	232.7079918
lbj:LBJ_0451	4482.611577	4998.269656	5066.785058	5559.135359
pvd:CFBP1590__4426	3229.993073	4034.646196	4319.33954	4025.239871
lbj:LBJ_0465	4672.004494	4289.925919	4352.061809	5239.732233
dsf:UWK_03168	9296.191965	10593.72521	10524.51512	9704.531644
lmay:DPV73_02790	2454.607218	2476.90326	2199.280938	2047.982424
pgo:FSB84_05040	2913.088092	2909.268918	2852.86521	2578.8
lbj:LBJ_0473	1394.194398	1166.007384	1069.501537	1219.815748
lbj:LBJ_0475	2942.153342	3349.300633	4021.394667	3328.636863
lbj:LBJ_0476	6108.390383	5331.743168	5652.341455	5154.558066
