keggID	Base mean DMC
lil:LA_4217	12.32
lil:LA_4218	21.7
lil:LA_4219	45.49
lil:LA_4220	49.9
lil:LA_4221	21.3
syf:Synpcc7942_2454	9.45
lagg:B0E33_10030	11.43
pth:PTH_0951	7.47
mhi:Mhar_1198	249.16
lil:LA_4242	146.87
mad:HP15_p187g91	27.95
laj:A0128_18850	135.81
lic:LIC_13397	108.96
hhy:Halhy_3688	37.22
lic:LIC_13399	19.87
scot:HBA18_16695	7.94
tbz:BK011_03200	15.09
lic:LIC_13404	34.88
lil:LA_4255	22.37
lil:LA_4261	8.88
thig:FE785_09965	55.51
lil:LA_4266	67.06
seon:BWZ22_11605	19.52
hala:Hrd1104_02780	11.3
tsc:TSC_c14200	6.77
tth:TT_C0815	5.24
kal:KALB_1452	7.59
lic:LIC_13433	103.0
lil:LA_4295	7.43
thef:E1B22_09150	16.31
lic:LIC_13442	50.35
sld:T261_0279	30.21
hmo:HM1_1592	11.19
lic:LIC_13469	8.57
azr:CJ010_18915	86.87
lil:LA_4330	6.72
fva:FV113G1_16900	27.37
hhy:Halhy_4875	27.08
ceu:A7L45_06245	96.51
whe:EFA59_08055	46.49
lil:LA_4360	37.69
lic:LIC_20002	55.11
bcoh:BC6307_04420	23.96
lil:LB_011	30.6
lic:LIC_20010	26.93
lic:LIC_20011	55.93
sat:SYN_00875	18.99
lil:LB_016	14.48
lil:LB_017	51.78
lic:LIC_20017	26.12
lic:LIC_20018	15.81
ter:Tery_3252	31.97
bgf:BC1003_5327	59.35
phc:BBI08_16515	166.62
lyj:FKV23_08795	87.16
mbs:MRBBS_2005	115.26
shv:AAT16_01780	53.38
mka:MK0192	73.78
tpz:Tph_c17350	17.36
pcay:FRD00_27810	110.8
vbr:A6E01_18825	17.26
lil:LB_074	125.57
lil:LB_079	62.39
lil:LB_082	104.91
ipo:Ilyop_2170	221.41
dat:HRM2_10850	12.06
roo:G5S37_20100	16.05
lil:LB_086	34.06
pof:GS400_07980	30.09
lil:LB_093	88.15
lic:LIC_20075	36.07
wfu:AXE80_12400	4.26
gsk:KN400_2489	43.83
got:AXE85_03695	62.15
lil:LA_3529	13.11
bbar:RHAL1_02630	172.54
lil:LB_106	874.27
sbn:Sbal195_2227	36.54
lil:LB_108	382.31
lil:LB_111	47.98
shd:SUTH_02109	84.32
lil:LB_114	16.68
lis:LIL_20102	3.67
lil:LB_118	50.1
tav:G4V39_09295	231.97
lil:LB_121	99.71
lil:LB_123	24.1
dsf:UWK_03168	54.58
camu:CA2015_3809	5.97
cmr:Cycma_3864	11.97
gxl:H845_1457	19.37
spkc:KC8_06955	22.32
lie:LIF_B121	4.09
lil:LB_150	10.79
lil:LB_151	46.64
lic:LIC_20122	8.17
fnf:BSQ88_02390	28.46
lic:LIC_20124	49.67
lil:LB_155	26.73
lic:LIC_20126	29.41
lil:LB_157	60.26
lic:LIC_20128	43.66
lil:LB_159	26.33
lic:LIC_20130	75.76
lic:LIC_20131	49.8
lic:LIC_20132	81.13
fse:DI487_07280	52.29
lbj:LBJ_4177	68.19
mib:UY43_C0001G0711	122.5
lil:LB_176	45.97
psf:PSE_3210	30.63
hty:BN2458_PEG0800	10.7
een:BBD30_05545	8.11
lil:LB_215	15.4
dori:FH5T_13955	18.39
tmc:LMI_0371	26.01
tkm:TK90_0100	5.38
tkm:TK90_0100	80.59
arp:NIES39_E02730	8.4
rgn:RGna_12855	17.4
tfr:BR63_10070	10.38
lic:LIC_20199	38.64
bex:A11Q_1665	31.55
sbu:SpiBuddy_3010	7.42
lic:LIC_20208	89.95
lic:LIC_20209	106.06
paeu:BN889_03330	47.64
ant:Arnit_0892	10.15
thap:FNC98_11570	19.7
oxy:HCG48_15465	9.32
ock:EXM22_00360	17.06
lic:LIC_20226	86.61
lil:LB_293	138.22
let:O77CONTIG1_04657	10.91
lic:LIC_20230	30.6
dto:TOL2_C19140	47.17
lil:LB_312a	69.73
lic:LIC_20241	110.01
bof:FQV39_14950	164.11
cpo:COPRO5265_1143	23.52
lic:LIC_20249	806.9
hyf:DTO96_101282	416.72
tjr:TherJR_1765	165.05
lil:LB_335	3.1
lil:LB_353	33.64
lic:LIC_20266	115.12
thn:NK55_08865	44.92
bcw:Q7M_741	48.06
