"PATRIC","ut30","to30","ut37","to37"
"fig|214675.23.peg.94",0.908129,0.381183,NA,NA
"fig|214675.23.peg.95",49.127445,7.395913,15.549251,5.614172
"fig|214675.23.peg.97",7.370347,0.974132,5.503589,1.150383
"fig|214675.23.peg.98",1.309195,1.551934,1.498577,2.252074
"fig|214675.23.peg.99",16.537863,2.428584,10.005488,3.206496
"fig|214675.23.peg.100",96.354179,3.75447,66.658394,5.302289
"fig|214675.23.peg.101",8.844838,1.603088,10.323874,3.420041
"fig|214675.23.peg.102",19.671509,1.538708,10.97221,2.654961
"fig|214675.23.peg.103",2.170079,1.017526,1.236748,0.991714
"fig|214675.23.peg.104",1.787655,0.896025,1.098549,NA
"fig|214675.23.peg.105",304.801361,3.741102,45.577206,3.355762
"fig|214675.23.peg.106",190.490524,35.742458,25.689573,28.648027
"fig|214675.23.peg.107",5.563054,2.407305,6.257011,2.660344
"fig|214675.23.peg.108",0.753431,0.427574,NA,NA
"fig|214675.23.peg.109",9.529558,2.50875,2.580047,1.240751
"fig|214675.23.peg.110",8.867116,6.973665,1.66835,3.582304
"fig|214675.23.peg.111",25.739111,2.284729,10.255049,2.050908
"fig|214675.23.peg.112",24.7836,2.725279,14.034138,2.981947
"fig|214675.23.peg.113",3.804364,3.494307,0.960973,2.116141
"fig|214675.23.peg.114",16.0091,1.983732,9.312816,2.383967
"fig|214675.23.rna.2",49.917919,42.129192,77.091255,38.55666
"fig|214675.23.rna.3",374.139954,148.11319,191.968491,120.554825
"fig|214675.23.rna.4",147.651382,9.210303,153.355347,20.191952
"fig|214675.23.peg.115",4.224017,0.8599,5.567504,2.623559
"fig|214675.23.peg.116",0.883701,4.54789,1.853298,4.432908
"fig|214675.23.peg.117",1.225821,1.476081,NA,1.867365
"fig|214675.23.peg.118",48.799938,7.09148,34.182491,10.352492
"fig|214675.23.peg.119",39.015652,6.156135,37.338249,13.213085
"fig|214675.23.peg.120",330.807251,16.073856,34.318558,26.250584
"fig|214675.23.peg.121",4.225465,0.64223,7.227493,2.537542
"fig|214675.23.peg.122",60.139038,8.816622,63.090935,16.261925
"fig|214675.23.peg.123",2.189929,0.435072,0.939778,NA
"fig|214675.23.peg.126",69.95224,6.871514,42.069061,8.698513
"fig|214675.23.peg.127",55.669121,6.399266,42.348339,9.217196
"fig|214675.23.peg.128",27.129055,6.687412,24.035147,11.294894
"fig|214675.23.peg.129",22.778992,3.965405,31.849617,12.258889
"fig|214675.23.rna.5",1374.529541,156.176498,1711.380005,212.198746
"fig|214675.23.peg.130",70.270508,171.952896,42.458744,194.750107
"fig|214675.23.peg.131",11.391219,1.503636,18.069704,4.245177
"fig|214675.23.peg.132",21.344976,4.484055,23.978792,10.341314
"fig|214675.23.peg.133",38.400455,4.802164,21.193438,6.519877
"fig|214675.23.peg.134",162.753052,17.423447,84.180969,20.134575
"fig|214675.23.peg.135",4.163075,2.146824,16.037674,8.977057
"fig|214675.23.peg.136",58.292133,24.102028,54.382011,49.444511
"fig|214675.23.peg.138",3.033252,0.966513,1.266055,0.908234
"fig|214675.23.peg.139",1.666047,1.275697,1.502095,1.659105
"fig|214675.23.peg.140",3.848965,0.972534,2.994107,1.943981
"fig|214675.23.peg.141",0.722113,1.569097,0.635652,1.529065
"fig|214675.23.peg.142",16.950611,4.64394,5.560913,2.813438
"fig|214675.23.peg.143",84.110596,4.355238,23.250206,3.81801
"fig|214675.23.peg.244",1.88563,0.965972,2.927828,1.720656
"fig|214675.23.peg.245",11.4262,6.593145,9.257189,7.767613
"fig|214675.23.peg.250",102.065178,2.005212,169.957764,5.553833
"fig|214675.23.peg.251",1.107252,1.023201,1.426035,1.930349
"fig|214675.23.peg.252",1.572917,0.510601,2.48029,1.214669
"fig|214675.23.peg.253",1.638165,0.507425,1.649588,0.624284
"fig|214675.23.peg.254",4.157259,1.128033,3.399571,2.559817
"fig|214675.23.peg.256",47.687141,2.109394,25.763193,3.42843
"fig|214675.23.peg.257",2.607527,1.44318,1.505635,2.512178
"fig|214675.23.peg.258",19.922983,3.794614,NA,7.788956
"fig|214675.23.peg.259",50.040157,5.314354,19.798086,6.912058
"fig|214675.23.peg.260",11.74902,7.823102,5.266874,5.946926
"fig|214675.23.peg.261",77.122993,3.39266,44.107159,4.714787
"fig|214675.23.peg.262",20.015778,6.647181,8.852019,5.571292
"fig|214675.23.peg.265",60.252796,9.051236,15.98199,4.902287
"fig|214675.23.peg.266",26.230824,4.491365,23.615564,6.845964
"fig|214675.23.peg.267",29.552794,7.452487,25.235027,8.900165
"fig|214675.23.peg.268",67.138237,4.750567,53.864609,9.581493
"fig|214675.23.peg.269",61.234627,4.239568,71.452911,8.358492
