"PATRIC","ut30","to30","ut37","to37"
"fig|214675.23.peg.813",7.503984,1.821888,3.293569,2.368228
"fig|214675.23.peg.814",1.666664,NA,1.530765,0.369297
"fig|214675.23.peg.816",4.298317,2.313325,6.14326,3.091335
"fig|214675.23.peg.817",0.730355,0.354328,0.968611,1.020901
"fig|214675.23.peg.818",7.92457,2.956321,12.0413,6.562694
"fig|214675.23.peg.819",76.983727,17.237095,55.621769,27.19006
"fig|214675.23.peg.820",35.896275,5.128018,24.600704,5.275246
"fig|214675.23.peg.821",3.449477,2.469357,3.092021,2.834117
"fig|214675.23.peg.822",13.072731,0.62013,9.640447,1.273719
"fig|214675.23.peg.823",15.699697,4.4209,18.006783,6.034385
"fig|214675.23.peg.824",11.7038,2.01133,9.032526,4.185347
"fig|214675.23.peg.825",0.830572,0.631087,2.166297,2.223179
"fig|214675.23.peg.827",28.224316,4.421008,11.457244,6.062525
"fig|214675.23.peg.828",5.751142,10.794188,8.556287,12.848841
"fig|214675.23.peg.829",224.524399,0.755584,146.367401,1.69496
"fig|214675.23.peg.830",13.369889,49.165665,6.185967,53.79372
"fig|214675.23.peg.833",321.572662,34.053535,235.631622,46.077518
"fig|214675.23.peg.834",259.009216,798.584473,137.680496,843.273499
"fig|214675.23.peg.835",26.371082,4.41353,21.036631,7.667787
"fig|214675.23.peg.836",1.868078,4.294432,2.821804,6.97893
"fig|214675.23.peg.837",52.068878,4.457736,45.764278,8.135759
"fig|214675.23.peg.838",16.959372,1.82525,NA,4.727958
"fig|214675.23.peg.839",26.667427,4.77704,11.905312,4.700521
"fig|214675.23.peg.840",72.241524,5.385838,90.176125,9.64163
"fig|214675.23.peg.841",5.364157,2.070384,6.741274,5.397845
"fig|214675.23.peg.842",6.548181,9.50393,3.193235,6.886549
"fig|214675.23.peg.843",52.723038,5.796338,23.395962,8.545135
"fig|214675.23.peg.844",134.662582,13.206758,60.600086,10.500645
"fig|214675.23.peg.845",37.223698,2.365783,22.824965,2.957278
"fig|214675.23.peg.847",2.995569,0.859852,2.260457,1.367403
"fig|214675.23.peg.848",8.139114,2.171511,7.453252,4.087924
"fig|214675.23.peg.849",160.779205,161.252975,20.694218,67.225624
"fig|214675.23.peg.851",76.212898,3.949853,34.164978,3.091335
"fig|214675.23.peg.852",7.412143,2.294322,17.486244,3.342735
"fig|214675.23.peg.855",233.712433,12.196497,348.197998,25.778568
"fig|214675.23.peg.856",177.19043,162.519089,150.096436,311.462616
"fig|214675.23.peg.857",2.827355,23.235504,2.932971,49.454838
"fig|214675.23.peg.858",110.983307,10.607086,153.082153,32.730289
"fig|214675.23.peg.859",3.582461,4.161523,6.639452,8.981105
"fig|214675.23.peg.860",15.661239,5.169083,14.294223,8.115785
"fig|214675.23.peg.861",24.828047,4.116848,10.954152,4.530128
"fig|214675.23.peg.862",50.336678,5.361573,28.259554,6.052377
"fig|214675.23.peg.863",21.766729,3.179463,16.139738,NA
"fig|214675.23.peg.864",5.725604,1.148063,3.131744,1.688909
"fig|214675.23.peg.865",13.13581,4.715574,11.510613,7.183702
"fig|214675.23.peg.866",47.329151,35.92709,16.322872,25.472918
"fig|214675.23.peg.867",60.977058,5.11129,45.367844,7.108979
"fig|214675.23.peg.869",164.350906,11.776691,44.586624,11.026045
"fig|214675.23.peg.870",403.295593,48.306198,103.712173,28.19948
"fig|214675.23.peg.871",72.440796,34.513577,32.841389,25.188148
"fig|214675.23.peg.872",39.869713,27.152592,32.490913,36.073086
"fig|214675.23.peg.873",14.925905,5.422971,16.444439,8.225978
"fig|214675.23.peg.874",44.758743,12.022513,19.425306,10.991092
"fig|214675.23.peg.875",19.167048,8.77935,11.871197,10.835602
"fig|214675.23.peg.876",22.242275,4.95098,26.825218,13.980793
"fig|214675.23.peg.878",3.032928,1.220863,6.307454,3.772456
"fig|214675.23.peg.879",0.653869,0.611226,2.414751,0.476951
"fig|214675.23.peg.880",0.697466,0.592942,2.122045,0.948392
"fig|214675.23.peg.881",10.242827,3.385354,11.229261,3.645774
"fig|214675.23.peg.883",1.8613,0.985624,1.876668,1.117633
"fig|214675.23.peg.884",0.853784,NA,NA,NA
"fig|214675.23.peg.885",0.660387,0.709098,NA,NA
"fig|214675.23.peg.887",2.23559,1.60189,1.923912,1.834135
"fig|214675.23.peg.888",1.767072,NA,3.209735,NA
"fig|214675.23.peg.889",0.80996,0.576133,2.100003,0.800685
"fig|214675.23.peg.890",5.166337,1.702279,4.988719,2.359153
"fig|214675.23.peg.891",5.462088,8.395761,6.25323,9.168695
"fig|214675.23.peg.892",82.534309,7.663375,56.658566,6.874619
"fig|214675.23.peg.893",48.660995,3.691032,33.735603,7.193637
"fig|214675.23.peg.894",60.065212,2.779411,29.67263,3.601238
"fig|214675.23.peg.895",17.634638,5.974216,13.306437,11.037937
"fig|214675.23.peg.896",14.905831,3.024064,10.558001,4.189389
"fig|214675.23.peg.897",11.041257,1.763851,7.12162,2.506799
"fig|214675.23.peg.898",11.519867,2.037568,4.737062,2.105126
"fig|214675.23.peg.899",41.550968,4.084939,10.964111,3.809997
"fig|214675.23.peg.900",1.566961,1.943029,1.242167,1.374203
"fig|214675.23.peg.901",304.271851,60.218136,39.687008,38.983742
"fig|214675.23.peg.902",192.593796,53.846256,67.727379,57.374149
"fig|214675.23.peg.903",6.7345,2.237662,9.082749,3.379107
"fig|214675.23.peg.904",2.38975,0.693511,6.257795,1.923712
"fig|214675.23.peg.905",17.724874,1.478744,29.881084,5.149842
"fig|214675.23.peg.906",4.366868,1.86294,5.368616,4.988636
"fig|214675.23.peg.907",5.784443,4.409101,5.206155,6.724641
"fig|214675.23.peg.908",89.107506,19.300114,78.279289,13.387301
"fig|214675.23.peg.909",77.911583,7.434954,49.023972,12.472489
"fig|214675.23.peg.910",2.721189,0.830814,2.39714,1.282825
"fig|214675.23.rna.11",8.887199,50.174313,10.524947,62.552437
"fig|214675.23.rna.12",18.485586,175.225281,21.539059,216.079681
"fig|214675.23.peg.911",87.555679,8.790447,43.012257,7.10318
"fig|214675.23.peg.912",10.669111,4.671971,5.977338,5.162373
"fig|214675.23.rna.13",33.080441,5.332889,42.128391,6.569261
"fig|214675.23.peg.913",10.470401,3.294231,10.130851,2.938101
"fig|214675.23.peg.914",25.401173,3.490715,29.895451,10.754623
"fig|214675.23.peg.915",5.397601,5.070141,4.08226,5.244111
"fig|214675.23.peg.916",32.146355,14.370915,18.801804,9.693047
"fig|214675.23.peg.917",8.074037,3.172631,2.644058,1.738876
"fig|214675.23.peg.918",0.676023,1.043915,0.904164,2.426263
"fig|214675.23.peg.919",69.714035,26.746134,27.227579,26.388
"fig|214675.23.peg.920",10.535146,19.503677,8.787625,20.73945
"fig|214675.23.peg.921",198.984299,15.757803,123.380302,24.365957
"fig|214675.23.peg.922",51.089031,5.235578,22.777828,7.666784
"fig|214675.23.peg.923",21.888206,2.70945,9.085399,3.048215
"fig|214675.23.peg.924",8.467013,1.757105,4.444355,2.236818
"fig|214675.23.peg.925",7.774084,0.936193,7.046256,1.255799
"fig|214675.23.peg.926",23.93539,20.504675,21.918137,23.028046
"fig|214675.23.peg.927",229.118134,1206.664795,50.834351,340.958527
"fig|214675.23.peg.928",73.705772,7.939785,44.653683,10.538542
"fig|214675.23.peg.929",38.112804,8.22949,16.697372,8.810398
"fig|214675.23.peg.930",69.457176,6.156437,51.511948,9.928067
"fig|214675.23.peg.931",1886.733521,144.394165,884.699951,135.319168
"fig|214675.23.peg.932",137.252991,8.284103,38.750748,4.718709
"fig|214675.23.peg.933",1.302657,1.016263,1.215724,1.428642
"fig|214675.23.peg.934",18.865656,2.822952,23.299023,3.609015
"fig|214675.23.peg.935",301.263611,16.833878,90.9375,12.579092
"fig|214675.23.peg.936",23.200087,2.320298,15.843619,3.202603
"fig|214675.23.peg.937",4.953044,0.52387,4.797434,1.24939
"fig|214675.23.peg.938",272.135773,21.686478,296.051514,20.166574
"fig|214675.23.peg.939",3.995409,4.093775,3.277129,8.180428
"fig|214675.23.peg.940",11.137456,NA,10.917181,1.076855
"fig|214675.23.peg.941",28.499069,4.2595,32.099323,8.130346
"fig|214675.23.peg.942",8.273337,2.207561,9.111712,3.547989
"fig|214675.23.peg.943",1.058292,2.639255,2.998593,4.141324
"fig|214675.23.peg.944",32.002357,3.064252,47.453156,8.696414
"fig|214675.23.peg.946",46.442345,63.763168,116.487556,37.981541
"fig|214675.23.peg.947",2.69253,1.940852,1.8271,2.102429
"fig|214675.23.peg.948",4.480478,1.27481,3.517365,1.614453
"fig|214675.23.peg.949",4.27663,1.280364,4.497082,1.475346
"fig|214675.23.peg.950",32.509857,7.413286,10.797274,8.366337
"fig|214675.23.peg.951",24.567142,11.190405,19.535717,15.533251
"fig|214675.23.peg.952",9.916136,2.798638,22.350704,9.124934
"fig|214675.23.peg.953",9.870236,5.094601,11.520521,13.120641
"fig|214675.23.peg.954",89.785927,12.377141,104.470352,27.446882
"fig|214675.23.peg.955",50.142086,8.469266,43.794579,15.655373
"fig|214675.23.peg.956",12.600691,4.527173,7.857048,4.105682
"fig|214675.23.peg.957",14.443621,3.677544,7.874761,5.050094
"fig|214675.23.peg.958",1.141793,1.13662,1.566103,3.013536
"fig|214675.23.peg.959",12.908268,1.830459,7.636324,2.353705
"fig|214675.23.peg.960",14.920787,2.132827,10.498956,2.839356
"fig|214675.23.peg.961",56.00758,4.84136,33.248936,5.979013
"fig|214675.23.peg.962",2.702935,1.506287,3.63006,2.602574
"fig|214675.23.peg.963",4.15801,2.512125,4.502433,3.878345
"fig|214675.23.peg.964",110.096237,4.370112,14.357906,4.70821
"fig|214675.23.peg.965",67.085663,8.173996,18.796364,5.460486
"fig|214675.23.peg.966",35.888836,8.776043,8.685445,5.344809
"fig|214675.23.peg.967",44.396477,4.814972,23.590519,4.231071
"fig|214675.23.peg.968",16.202919,2.014407,8.058825,2.511968
"fig|214675.23.peg.969",6.202333,2.637562,4.693236,3.227939
"fig|214675.23.peg.970",155.863525,4.755075,79.502213,4.600663
"fig|214675.23.peg.971",9.793637,2.254452,5.296716,1.963526
"fig|214675.23.peg.972",6.868124,1.885037,3.332323,1.299029
"fig|214675.23.peg.973",17.490536,5.393623,12.350083,10.188139
"fig|214675.23.peg.974",9.056098,11.119438,6.080049,13.232894
"fig|214675.23.peg.975",54.003922,95.479538,25.459833,69.471359
"fig|214675.23.peg.976",25.600386,2.907647,8.534749,3.300784
"fig|214675.23.peg.977",17.618387,1.275747,29.694773,1.759992
"fig|214675.23.peg.978",17.833309,1.445773,13.79197,2.079921
"fig|214675.23.peg.979",50.086922,12.238537,9.400647,10.179576
"fig|214675.23.peg.982",110.875977,11.034902,43.645863,9.175558
"fig|214675.23.peg.983",0.965334,1.117426,2.652687,1.93375
"fig|214675.23.peg.984",0.808275,1.121573,1.251267,3.593392
"fig|214675.23.peg.985",20.613323,1.934868,25.703537,4.378456
"fig|214675.23.peg.986",2.577993,1.077554,6.058986,2.368276
"fig|214675.23.peg.987",20.838905,7.625216,15.335734,6.629575
"fig|214675.23.peg.988",383.46759,29.212727,105.68528,14.923582
"fig|214675.23.peg.989",73.006554,8.861323,26.51734,5.859071
"fig|214675.23.peg.990",18.942926,5.152499,8.646216,4.695427
"fig|214675.23.peg.991",7.863808,1.916577,3.354091,2.942839
"fig|214675.23.peg.992",7.479281,11.59737,4.647341,7.421159
"fig|214675.23.peg.993",4.144405,2.633434,4.826928,3.265328
"fig|214675.23.peg.994",4.37642,2.470944,3.454619,3.292723
"fig|214675.23.peg.995",3038.807861,528.652405,1779.217896,578.53949
"fig|214675.23.peg.996",159.468033,711.302795,33.817554,614.51416
"fig|214675.23.peg.997",11.131205,1.788716,8.630898,2.42107
"fig|214675.23.peg.998",216.030701,38.553867,37.864372,23.885052
"fig|214675.23.peg.999",6.029782,4.545938,2.713592,7.125997
"fig|214675.23.peg.1000",24.301058,4.763817,19.504604,7.063072
"fig|214675.23.peg.1001",139.38237,11.569861,94.151901,15.76787
"fig|214675.23.peg.1002",67.242531,15.091425,46.340691,16.489344
"fig|214675.23.peg.1003",5.030841,2.600701,4.491855,6.173141
"fig|214675.23.peg.1004",8.284155,2.888705,7.474424,3.81629
"fig|214675.23.peg.1006",0.999566,NA,NA,0.500102
"fig|214675.23.peg.1007",1.527959,0.84075,1.334235,1.219397
"fig|214675.23.peg.1008",8.886578,2.84122,14.913303,6.463392
"fig|214675.23.peg.1009",1.526462,0.850004,1.048651,1.391641
"fig|214675.23.peg.1010",12.043302,4.891328,7.772136,8.565248
"fig|214675.23.peg.1011",37.153206,2.325211,33.194946,3.980636
"fig|214675.23.peg.1012",37.077763,4.350687,16.517452,5.370199
"fig|214675.23.peg.1013",1.35683,1.137743,1.196212,0.749516
"fig|214675.23.peg.1014",1.75812,0.363432,2.21964,0.537044
"fig|214675.23.peg.1016",90.684525,8.678856,27.484571,6.202948
"fig|214675.23.peg.1017",9.002806,2.271488,7.222272,3.185911
"fig|214675.23.peg.1018",14.785985,13.190537,7.716424,13.730449
"fig|214675.23.peg.1019",14.627671,7.0111,9.017354,8.529283
"fig|214675.23.peg.1020",4.244461,0.840091,5.999435,1.600589
"fig|214675.23.peg.1021",2.461857,NA,1.344219,0.785207
"fig|214675.23.peg.1023",3.138929,2.734224,2.771439,4.127927
"fig|214675.23.peg.1024",182.79245,10.998593,83.834618,11.206792
"fig|214675.23.peg.1026",25.600847,3.065996,21.995007,3.420517
"fig|214675.23.peg.1027",41.792126,6.578788,20.685602,7.580556
"fig|214675.23.peg.1028",105.281288,7.675554,46.766434,8.238153
"fig|214675.23.peg.1029",41.567505,2.803095,40.690224,3.165183
"fig|214675.23.peg.1030",10.048167,0.753276,13.276572,2.639889
"fig|214675.23.peg.1033",69.207939,33.503582,22.293005,9.972992
"fig|214675.23.peg.1035",0.841573,NA,NA,NA
"fig|214675.23.peg.1036",10.086063,0.862905,10.923959,1.750388
"fig|214675.23.peg.1037",276.93866,18.879965,189.318405,24.917406
"fig|214675.23.peg.1038",68.950714,10.957602,52.136948,15.009342
"fig|214675.23.peg.1039",42.794117,3.643897,31.224331,5.369377
"fig|214675.23.peg.1040",35.174633,5.72159,19.543486,7.799684
"fig|214675.23.peg.1041",375.23111,8.380256,263.963959,12.260554
"fig|214675.23.peg.1042",32.006756,30.636862,28.420681,36.605534
"fig|214675.23.peg.1043",96.657661,24.679667,67.811546,30.863865
"fig|214675.23.peg.1044",75.286171,41.619843,112.787819,108.553299
"fig|214675.23.peg.1045",133.428436,61.609573,107.54895,156.842636
"fig|214675.23.peg.1046",268.345612,75.499718,220.559418,190.339188
"fig|214675.23.peg.1047",130.997391,16.187777,264.099274,66.341019
"fig|214675.23.peg.1048",149.582428,23.369179,147.545624,51.386745
"fig|214675.23.peg.1049",6.358851,3.367936,16.665625,7.859259
"fig|214675.23.peg.1050",38.88084,8.315877,32.890423,14.944135
"fig|214675.23.peg.1051",22.238684,3.229581,27.232082,8.331331
"fig|214675.23.peg.1052",74.800522,11.060573,65.474739,20.164404
"fig|214675.23.peg.1053",21.130268,5.033386,19.036613,13.896461
"fig|214675.23.peg.1054",79.96212,7.919341,74.774254,17.518806
"fig|214675.23.peg.1056",5.348091,1.641242,4.094625,3.756144
"fig|214675.23.peg.1057",246.80159,37.500443,136.941055,35.347427
"fig|214675.23.peg.1058",154.869934,8.926613,226.660782,19.376644
"fig|214675.23.peg.1059",35.831356,8.483059,39.125172,19.35881
"fig|214675.23.peg.1060",1.04399,158.653275,1.43145,482.740082
"fig|214675.23.peg.1061",10.609844,2.580174,8.474919,3.244487
"fig|214675.23.peg.1062",8.884645,3.199558,5.665263,9.148374
"fig|214675.23.peg.1063",88.028252,1.634535,235.699188,5.437925
"fig|214675.23.peg.1064",42.645107,2.126916,39.980217,6.156188
"fig|214675.23.peg.1065",6.793089,2.548489,13.513083,6.341356
"fig|214675.23.peg.1066",280.162048,25.23592,214.686707,42.436634
"fig|214675.23.peg.1067",0.89207,NA,1.413812,NA
"fig|214675.23.peg.1068",10.475159,5.653235,4.115273,3.812653
"fig|214675.23.peg.1069",33.696842,3.889338,13.134466,3.27231
"fig|214675.23.peg.1070",6.305207,3.192133,3.865427,3.460427
"fig|214675.23.peg.1071",74.096977,17.042675,34.130348,15.186841
"fig|214675.23.peg.1072",73.387299,4.289827,93.241829,5.814193
"fig|214675.23.peg.1073",6.889806,3.107426,7.439309,3.569838
"fig|214675.23.peg.1074",19.85363,5.51313,9.737192,4.075875
"fig|214675.23.peg.1075",24.94948,3.914976,11.197809,4.084578
"fig|214675.23.peg.1076",53.248249,6.970002,22.280296,7.45788
"fig|214675.23.peg.1077",1.224863,1.71242,1.3326,2.037076
"fig|214675.23.peg.1079",2.155969,1.975498,NA,0.521885
"fig|214675.23.peg.1080",69.658897,9.154037,64.346832,19.518082
"fig|214675.23.peg.1081",13.827939,NA,29.054827,0.502532
"fig|214675.23.peg.1082",6.218708,1.30419,1.394891,0.731918
"fig|214675.23.peg.1083",3.159,0.513461,0.926935,NA
"fig|214675.23.peg.1084",10.338106,1.622059,4.22349,1.064534
"fig|214675.23.peg.1085",67.067207,26.15016,25.093794,18.719448
"fig|214675.23.peg.1086",1.025598,29.374767,38.779476,27.047588
"fig|214675.23.peg.1088",92.631729,3.637242,61.629543,5.31643
"fig|214675.23.peg.1089",38.504372,2.488212,22.173553,2.69974
"fig|214675.23.peg.1090",13.520675,23.272095,7.194814,30.833466
"fig|214675.23.peg.1091",41.035023,3.982281,19.915104,7.936018
"fig|214675.23.peg.1092",3.263263,1.246933,4.463382,4.599559
"fig|214675.23.peg.1093",1.718151,0.759999,3.204402,2.384544
"fig|214675.23.peg.1094",2.586134,0.671407,3.008978,1.752067
"fig|214675.23.peg.1095",4.12932,0.587896,9.552533,1.413065
"fig|214675.23.peg.1096",1.996201,1.323497,0.841292,2.221597
"fig|214675.23.peg.1097",86.217941,3.800282,46.694942,3.61243
"fig|214675.23.peg.1098",3.386049,NA,3.229662,NA
"fig|214675.23.peg.1099",78.726448,NA,39.186932,NA
"fig|214675.23.peg.1101",13.808711,2.356454,5.481415,2.041784
"fig|214675.23.peg.1102",10.013208,1.127752,5.791078,1.089623
"fig|214675.23.peg.1105",1.981666,1.515201,2.29129,2.275176
"fig|214675.23.peg.1106",89.213219,2.99614,83.242287,6.664982
"fig|214675.23.peg.1107",11.293383,3.696664,13.383698,4.829538
"fig|214675.23.peg.1108",122.706482,18.492689,89.222565,40.272858
"fig|214675.23.peg.1109",7.677127,2.394537,7.996957,5.970755
"fig|214675.23.peg.1110",21.964176,1.474337,15.90038,3.518008
"fig|214675.23.peg.1111",78.787918,203.938171,24.159658,121.366005
"fig|214675.23.peg.1112",6.768755,8.340601,5.264974,9.536107
"fig|214675.23.peg.1113",30.352533,5.00575,17.401913,6.941069
"fig|214675.23.peg.1115",3.005019,0.476875,4.862302,0.85027
"fig|214675.23.peg.1116",388.864105,25.520645,112.59256,35.660694
"fig|214675.23.peg.1117",10.088069,5.022966,38.317696,9.030313
"fig|214675.23.peg.1118",53.091602,14.674995,34.102169,20.511171
"fig|214675.23.peg.1119",8.408623,5.872279,7.86047,10.606597
"fig|214675.23.peg.1120",29.501354,6.459173,26.473211,13.096363
"fig|214675.23.peg.1121",73.53347,2.98892,60.016567,5.616755
"fig|214675.23.peg.1123",2.043778,2.566953,1.976548,2.39627
"fig|214675.23.peg.1124",42.398952,4.43014,17.957495,3.729476
"fig|214675.23.peg.1125",15.12098,4.75639,7.35362,4.646013
"fig|214675.23.peg.1126",1.818533,NA,1.624372,NA
"fig|214675.23.peg.1127",41.4394,4.62366,30.226269,6.913793
"fig|214675.23.peg.1128",2.623728,6.99895,2.226431,7.083334
"fig|214675.23.peg.1129",6.55198,3.331204,3.35214,3.70193
"fig|214675.23.peg.1131",6.917652,NA,5.951029,0.741239
"fig|214675.23.peg.1132",3.589874,0.823837,2.822453,0.823269
"fig|214675.23.peg.1133",4.350848,0.616916,3.124441,0.88411
"fig|214675.23.peg.1134",3.256463,1.01727,2.108693,1.093064
"fig|214675.23.peg.1135",27.259993,4.598629,19.365482,7.822914
"fig|214675.23.peg.1137",7.077128,NA,4.410023,0.515223
"fig|214675.23.peg.1138",27.555092,4.80341,20.454052,7.17569
"fig|214675.23.peg.1140",10.961292,3.347837,4.234027,2.905935
"fig|214675.23.peg.1141",5.211637,0.703116,5.322913,1.374282
"fig|214675.23.peg.1142",14.353855,0.526659,10.012209,0.584759
"fig|214675.23.peg.1143",24.571606,2.632604,8.779496,2.031639
"fig|214675.23.peg.1144",0.751016,0.913989,NA,0.824149
"fig|214675.23.peg.1145",2.081847,4.552904,25.252295,5.317286
"fig|214675.23.peg.1146",1.857711,1.629223,1.555731,1.912645
"fig|214675.23.peg.1148",18.829079,2.09453,16.234209,2.614242
"fig|214675.23.peg.1149",1.189206,1.315802,8.302405,1.70398
"fig|214675.23.peg.1150",74.926491,4.195075,41.3974,6.155603
"fig|214675.23.peg.1152",12.567087,2.020827,6.884672,1.878642
"fig|214675.23.peg.1153",1.268573,0.687978,2.009443,0.716574
"fig|214675.23.peg.1154",3.638235,0.743016,2.738774,1.028935
"fig|214675.23.peg.1155",43.957661,3.94213,24.816956,5.156821
"fig|214675.23.peg.1156",27.984325,2.365854,21.931871,3.813906
"fig|214675.23.peg.1157",22.926298,1.432399,17.693979,2.538641
"fig|214675.23.peg.1158",27.933901,9.231587,20.874479,10.085482
"fig|214675.23.peg.1159",15.590934,2.929427,13.905189,4.354381
"fig|214675.23.peg.1160",72.705353,5.861105,39.931065,6.356759
"fig|214675.23.peg.1161",0.760142,0.378575,0.774698,NA
"fig|214675.23.peg.1162",65.072609,6.384234,74.111603,21.195343
"fig|214675.23.peg.1163",17.4998,3.381621,30.699411,9.944539
"fig|214675.23.peg.1164",7.801785,2.123512,8.212363,5.906118
"fig|214675.23.peg.1165",4.705774,0.764393,8.532068,2.83966
"fig|214675.23.peg.1166",39.458324,4.283501,32.810871,11.318624
"fig|214675.23.peg.1167",101.236031,9.545751,48.696392,8.846808
"fig|214675.23.peg.1168",7.260201,1.489651,13.754191,4.150565
"fig|214675.23.peg.1169",60.600475,5.548461,34.525146,10.205659
"fig|214675.23.peg.1172",34.05962,5.208206,19.013987,5.915325
"fig|214675.23.peg.1173",24.30863,1.386011,17.251921,2.269071
"fig|214675.23.peg.1174",11.967074,0.939136,10.650075,2.856725
"fig|214675.23.peg.1175",77.392845,26.053936,34.565407,27.903732
"fig|214675.23.peg.1176",28.007151,9.605751,22.108908,11.725352
"fig|214675.23.peg.1177",4.372747,3.583195,3.922374,7.04089
"fig|214675.23.peg.1178",1.884189,0.763011,2.806176,1.397763
"fig|214675.23.peg.1179",9.830661,1.342597,9.596011,2.309475
"fig|214675.23.peg.1181",46.953159,9.700102,53.720837,17.393238
"fig|214675.23.peg.1182",30.108957,12.12222,14.126174,8.269571
"fig|214675.23.peg.1183",0.997978,2.104876,0.678949,1.900511
"fig|214675.23.peg.1184",43.128704,2.248775,1.079316,2.04697
"fig|214675.23.peg.1185",3.886873,NA,1.134483,0.465414
"fig|214675.23.peg.1186",36.749096,20.105843,5.346276,4.143984
"fig|214675.23.peg.1188",5.714155,1.314313,4.525819,4.014781
"fig|214675.23.peg.1189",9.891354,2.815637,9.616885,6.587256
"fig|214675.23.peg.1190",17.638792,5.856901,NA,13.655272
"fig|214675.23.peg.1193",41.872532,9.056017,10.733681,4.511295
"fig|214675.23.peg.1195",15.712018,2.160504,4.074675,1.798838
"fig|214675.23.peg.1196",63.66967,19.511568,7.398577,8.525191
"fig|214675.23.peg.1197",23.914406,2.892406,24.003338,4.888077
"fig|214675.23.peg.1198",7.907027,1.145472,7.789814,2.71486
"fig|214675.23.peg.1199",1.246086,3.200791,0.635898,2.032671
"fig|214675.23.peg.1200",155.162476,43.10466,31.647734,11.598452
"fig|214675.23.peg.1201",2.075494,0.818421,1.534228,0.894354
"fig|214675.23.peg.1202",25.234718,15.984346,24.65925,23.470762
"fig|214675.23.peg.1203",27.486523,12.857764,22.408337,19.290224
"fig|214675.23.peg.1205",29.055372,8.549403,9.896783,7.762157
"fig|214675.23.peg.1206",27.355221,8.911955,10.859276,8.335617
"fig|214675.23.peg.1207",232.17865,15.965506,103.007683,11.183946
"fig|214675.23.peg.1208",42.705177,12.823078,11.760849,5.913838
"fig|214675.23.peg.1209",13.926671,0.619022,4.944723,0.48604
"fig|214675.23.peg.1210",27.076223,3.800529,6.525841,2.278947
"fig|214675.23.peg.1212",23.675327,1.824145,10.075736,1.273795
"fig|214675.23.peg.1213",24.078489,4.903838,5.713384,2.111676
"fig|214675.23.peg.1216",130.438339,13.293554,112.36557,25.538429
"fig|214675.23.peg.1217",5.647259,2.057591,2.99123,2.394277
"fig|214675.23.peg.1218",3.218828,0.858379,4.245659,1.49442
"fig|214675.23.peg.1220",0.767317,0.379546,1.324418,2.976154
"fig|214675.23.peg.1221",56.05014,7.03761,45.771366,14.797187
"fig|214675.23.peg.1222",70.480133,10.960443,38.000381,20.712709
"fig|214675.23.peg.1223",20.820827,9.257407,20.944031,17.470201
"fig|214675.23.peg.1224",37.536819,1.695997,43.923481,5.708223
"fig|214675.23.peg.1225",58.124214,8.485082,60.688736,19.598375
"fig|214675.23.peg.1226",43.638859,9.917291,76.839561,23.738472
"fig|214675.23.peg.1227",66.518517,7.635561,39.138489,10.207251
"fig|214675.23.peg.1228",29.478266,3.087401,29.801216,7.06422
"fig|214675.23.peg.1229",47.276081,5.085137,22.868189,8.762506
"fig|214675.23.peg.1230",40.249836,5.462375,24.422619,9.061306
"fig|214675.23.peg.1231",75.01812,5.107687,53.959625,7.614654
"fig|214675.23.peg.1232",684.750061,20.622808,168.420609,21.662252
"fig|214675.23.peg.1233",1.775888,1.604774,2.531678,3.22121
"fig|214675.23.rna.14",865.845093,195.522888,3670.586426,250.327179
"fig|214675.23.peg.1234",236.737701,37.743549,120.072716,51.610771
"fig|214675.23.peg.1235",2.799548,3.852132,1.658396,3.57298
"fig|214675.23.peg.1236",1.794631,0.634282,1.831123,0.865782
"fig|214675.23.peg.1237",26.667479,3.776842,16.067453,4.330131
"fig|214675.23.peg.1238",1.210105,NA,0.616009,NA
"fig|214675.23.peg.1240",2.424348,1.611613,3.405235,2.293786
"fig|214675.23.peg.1241",283.226776,14.295273,109.000443,16.577555
"fig|214675.23.peg.1242",18.15925,10.22187,18.078779,16.670158
"fig|214675.23.peg.1243",50.995144,10.546548,65.758118,21.729486
"fig|214675.23.peg.1244",165.139099,25.917683,97.355515,53.074871
"fig|214675.23.peg.1826",1.734966,2.061218,2.226817,1.73572
"fig|214675.23.peg.1827",18.041885,3.44868,16.813442,8.256135
"fig|214675.23.peg.1828",24.457609,7.153561,37.29464,14.47192
"fig|214675.23.peg.1829",2.53572,NA,2.073895,NA
"fig|214675.23.peg.1830",3.113136,1.62346,1.074259,2.031857
"fig|214675.23.peg.1831",15.446945,4.860821,10.946224,8.794086
"fig|214675.23.peg.1832",41.717175,5.697343,29.446371,8.517405
"fig|214675.23.peg.1833",71.669304,7.267766,41.166172,6.779788
"fig|214675.23.peg.1834",46.745583,4.312247,22.664106,4.222868
"fig|214675.23.peg.1835",4.60774,1.392281,6.094662,3.520598
"fig|214675.23.peg.1838",0.724,0.522433,NA,0.542649
"fig|214675.23.peg.1839",2.77254,2.398856,2.749252,3.299441
"fig|214675.23.peg.1840",3.425467,1.349915,3.646101,2.353729
"fig|214675.23.peg.1841",30.162313,3.565505,9.48775,3.679669
"fig|214675.23.peg.1842",74.706718,5.209687,22.473331,3.166771
"fig|214675.23.peg.1843",78.997925,12.283716,20.118578,5.798415
"fig|214675.23.peg.1844",96.669678,13.139731,25.785378,6.298021
"fig|214675.23.peg.1845",53.481003,3.878704,15.888588,2.511469
