keggID	to37
tav:G4V39_09295	28.19948
lis:LIL_20108	25.188148
lil:LB_123	8.225978
dsf:UWK_03168	10.991092
camu:CA2015_3809	0.948392
cmr:Cycma_3864	3.645774
gxl:H845_1457	1.117633
lil:LA_0113	4.189389
mbu:Mbur_1899	2.506799
lil:LA_0110	2.105126
lis:LIL_10097	57.374149
lic:LIC_10092	1.923712
paeu:BN889_05176	10.754623
lic:LIC_10074	24.365957
lie:LIF_A0072	7.666784
lil:LA_0080	3.048215
grs:C7S20_17155	2.236818
lkm:EFP84_11195	8.810398
lil:LA_0072	9.928067
rev:HUE57_01805	4.718709
rev:HUE57_01805	12.579092
lil:LA_0062	8.696414
seon:BWZ22_11605	1.614453
lil:LA_0057	1.475346
hyf:DTO96_101282	8.366337
ceb:B0D95_03505	13.120641
lil:LA_0052	27.446882
lil:LA_0051	15.655373
paco:AACT_2886	5.050094
lil:LA_0046	5.979013
lil:LA_0045	2.602574
lagg:B0E33_08875	3.227939
lil:LA_0033	10.188139
lil:LA_0027	2.079921
lil:LA_0020	14.923582
afu:AF_0745	7.063072
lic:LIC_13496	8.565248
whe:EFA59_08055	6.202948
ceu:A7L45_06245	13.730449
chel:AL346_11035	11.206792
abaw:D5400_05875	3.165183
fcr:HYN56_01755	2.639889
fat:DVK85_06060	9.972992
lie:LIF_A2654	1.750388
saga:M5M_19155	24.917406
lil:LA_3305	15.009342
lil:LA_3302	12.260554
dol:Dole_0034	36.605534
lil:LA_3296	66.341019
lil:LA_3294	7.859259
lil:LA_3293	14.944135
lis:LIL_10940	8.331331
lil:LA_3289	17.518806
lil:LA_3288	0.0
lil:LA_3286	35.347427
lil:LA_3285	19.376644
kphy:AOZ06_22185	3.244487
lil:LA_2944	6.156188
lil:LA_2947	42.436634
ppd:Ppro_1380	15.186841
tmr:Tmar_1404	4.075875
pfla:Pflav_041560	7.45788
ccup:BKK81_31325	2.037076
sen:SACE_4756	0.521885
lil:LA_2959	19.518082
fad:CDH04_06500	18.719448
lil:LA_2968	27.047588
this:HZT40_01845	5.31643
amh:I633_11460	2.221597
aai:AARI_04680	2.041784
lic:LIC_11076	6.664982
lis:LIL_12556	4.829538
ful:C4N20_15045	3.518008
bce:BC2176	9.536107
lys:LBYS11_15145	0.85027
bba:Bd1820	20.511171
hmo:HM1_1592	10.606597
lil:LA_3613	2.614242
lil:LB_118	1.70398
hyf:DTO96_101282	6.155603
camp:CFT03427_1061	0.0
scot:HBA18_16695	5.156821
lil:LA_3627	21.195343
lic:LIC_10582	9.944539
lil:LA_3629	5.906118
kal:KALB_1452	2.83966
lil:LA_3636	5.915325
lic:LIC_10571	11.725352
plut:EI981_21390	2.309475
lis:LIL_10573	17.393238
awa:AA650_14330	4.511295
nst:Nstercoris_00483	4.888077
arp:NIES39_E02730	2.71486
sauo:BV401_39280	11.598452
lil:LA_3666	19.290224
lkm:EFP84_03675	2.278947
lagg:B0E33_10030	25.538429
hhy:Halhy_4875	2.394277
net:Neut_0908	5.708223
lic:LIC_11597	19.598375
llm:llmg_1854	7.06422
lis:LIL_11707	51.610771
bcoh:BC6307_17615	4.330131
lil:LA_2527	2.293786
dms:E8L03_02300	16.577555
mbu:Mbur_1899	3.514919
lic:LIC_11437	2.792425
lic:LIC_11437	1.052741
lagg:B0E33_10030	7.068317
mbu:Mbur_1899	5.4566
rhl:LPU83_pLPU83d0820	5.551373
dal:Dalk_2094	30.024378
meku:HUW50_02925	0.75829
apm:HIMB5_00008340	1.884987
lep:Lepto7376_4199	3.466851
gur:Gura_3046	111.613914
xce:Xcel_2419	5.640481
cga:Celgi_2410	1.726737
lil:LA_2561	13.057124
fnf:BSQ88_05960	2.783468
lil:LA_3529	2.468111
lil:LA_2569	21.474264
lil:LA_2570	21.831787
mad:HP15_p187g91	4.322168
apre:CNX65_15855	8.871023
pom:MED152_04280	1.426746
smur:BWP33_01885	4.280526
hmo:HM1_1592	4.472343
dol:Dole_2976	5.682768
lil:LA_2598	9.195307
metf:CFE53_03355	42.288216
lis:LIL_11488	6.832846
hch:HCH_01597	7.9771
lul:LPB138_03425	23.650824
lil:LA_2623	6.275396
lic:LIC_11359	17.845871
lic:LIC_11357	3.448384
lil:LA_2632	37.964996
lil:LA_2633	45.160839
bcw:Q7M_741	6.492947
lic:LIC_11350	5.624304
elt:FGE20_10145	7.998777
lil:LA_2643	4.068309
ctc:CTC_01706	4.668334
mkc:kam1_547	6.9375
trd:THERU_06435	2.698096
ngg:RG540_CH38170	10.988128
tpx:Turpa_2775	1.356712
djj:COP05_06865	5.570761
hhl:Halha_2401	6.263234
lis:LIL_11435	8.680717
lil:LA_2690	49.602436
lic:LIC_11308	3.46256
lic:LIC_11257	4.948127
cle:Clole_1194	70.907333
lil:LA_2749	10.128636
mtea:DK419_27425	11.623532
kci:CKCE_0405	13.00525
lis:LIL_11401	22.915941
mos:AXE82_07685	23.941116
tmo:TMO_0687	13.112088
lil:LA_2727	6.572258
bmd:BMD_3577	2.239563
