keggID	to30
sdz:Asd1617_00381	7.64858
ial:IALB_0540	21.039888
lis:LIL_11795	0.978074
lie:LIF_A1847	10.764753
lic:LIC_11663	4.386433
lil:LA_2282	1.719224
lis:LIL_11777	4.015525
lil:LA_2286	21.242914
lic:LIC_11646	5.17458
lil:LA_3949	13.166423
lil:LA_3948	8.822426
sus:Acid_2404	6.495481
lic:LIC_13145	10.349151
ftu:FTT_1317c	5.484179
lil:LA_3936	5.007533
lis:LIL_13241	0.0
lic:LIC_13138	1.196629
cazo:G3A45_04400	11.150196
laj:A0128_11770	18.2103
mhad:B586_07090	6.159952
fmo:C4N19_00565	4.199852
camu:CA2015_3809	0.471321
enf:AKI40_0896	0.458956
tni:TVNIR_1685	1.475105
tig:THII_3121	7.395913
pset:THL1_3734	0.974132
oxy:HCG48_15465	2.428584
des:DSOUD_1479	3.75447
bsto:C0V70_18545	1.603088
cte:CT2056	1.538708
lil:LA_3888	2.407305
lil:LA_3885	2.50875
vdi:Vdis_0456	3.494307
mthd:A3224_11795	0.8599
lil:LA_3874	7.09148
lie:LIF_A3045	6.871514
lil:LA_3802	6.399266
lil:LA_3801	6.687412
lil:LA_3800	3.965405
dov:DSCO28_00810	17.423447
rhoz:GXP67_10580	4.64394
ssm:Spirs_4303	10.751351
bjs:MY9_2859	20.297203
paut:Pdca_14000	2.630472
lil:LA_0693	5.803097
lkm:EFP84_15395	63.254173
lie:LIF_A2534	4.096327
mfc:BRM9_1198	1.373945
toq:HCG51_04390	14.427505
bxe:Bxe_C1266	6.716409
lil:LA_3160	5.83646
tah:SU86_008830	3.242609
dfl:DFE_1957	1.374824
amyy:YIM_39670	3.636434
lagg:B0E33_10030	1.388967
tsl:A3L11_05140	1.44318
lil:LA_4079	3.794614
hgn:E6W36_08880	5.314354
aai:AARI_04680	4.239568
caby:Cabys_2095	6.272629
lis:LIL_10245	2.30206
lil:LA_0296	41.578926
sth:STH1805	2.103754
rme:Rmet_0810	1.690098
caby:Cabys_2095	12.728235
lic:LIC_10270	5.66338
nmv:NITMOv2_0338	33.16264
rau:MC5_02555	2.697303
lil:LA_0325	19.641716
lil:LA_0326	5.462949
lic:LIC_10286	8.149293
lil:LA_0332	2.136531
lil:LA_0333	1.818841
lil:LA_0334	11.717167
lil:LA_0335	10.877748
lic:LIC_10293	2.055813
tto:Thethe_02117	16.540512
mthd:A3224_11795	2.061538
lic:LIC_10309	11.328829
lil:LA_0361	14.900201
lic:LIC_10311	3.968183
lil:LA_0366	3.835246
lil:LA_0369	15.631646
aft:BBF96_06095	4.721964
mpi:Mpet_0440	17.055117
agv:OJF2_64560	0.437369
ndv:NDEV_0242	3.259348
aai:AARI_04680	7.406292
dsf:UWK_03168	4.485979
fnu:FN1424	63.791622
lil:LA_0414	25.213709
npu:Npun_R3683	0.0
bsto:C0V70_17775	0.867681
tee:Tel_08575	1.075794
lil:LA_0671	18.776598
lil:LA_0656	6.598897
aaxa:NCTC10138_01451	5.658561
piv:NCTC13079_00754	18.145237
tpx:Turpa_1643	8.88944
aper:A0U91_07295	1.873538
lil:LA_0638	1.123217
lic:LIC_12950	0.42966
syf:Synpcc7942_2454	0.723449
lic:LIC_12955	9.419628
lil:LA_0618	8.270023
ccro:CMC5_022300	29.939728
sen:SACE_0728	1.261928
sua:Saut_0637	51.755905
lil:LA_0595	3.077384
lis:LIL_13088	2.760263
aaxa:NCTC10138_00241	5.447047
lie:LIF_A0904	0.492948
csep:CP523_01015	11.412434
lil:LA_1111	3.50005
lil:LA_1110	11.445565
lil:LA_1102	31.455259
lil:LA_1101	36.198177
tfr:BR63_15455	3.70658
hmc:HYPMC_2860	2.534837
lic:LIC_12579	5.119874
lic:LIC_12589	0.87403
lkm:EFP84_16690	3.86043
bha:BH2000	0.613808
lic:LIC_12598	1.302626
buo:BRPE64_DCDS00160	0.733261
lis:LIL_10996	1.919968
lil:LA_1047	8.766361
hmo:HM1_1592	17.283092
lmay:DPV73_12440	13.397256
lil:LA_1032	25.073847
lis:LIL_10983	1.31532
lic:LIC_12632	1.461597
hco:LOKO_00535	7.67672
lis:LIL_10968	35.668438
lby:Lbys_1799	74.508667
tak:Tharo_1296	111.930237
lis:LIL_20213	3.681519
sbu:SpiBuddy_3010	1.347376
lil:LB_273	9.676127
lic:LIC_20209	11.564205
paeu:BN889_03330	22.131386
ant:Arnit_0892	1.554814
thap:FNC98_11570	5.797146
oxy:HCG48_15465	1.159183
ock:EXM22_00360	1.95819
lis:LIL_20240	13.506175
lil:LB_293	37.222546
let:O77CONTIG1_04657	9.214172
lil:LB_298	4.512517
lis:LIL_20251	3.193074
lil:LB_311	13.540295
dto:TOL2_C19140	32.121304
lic:LIC_20239	59.405285
lil:LB_317	1.711378
bof:FQV39_14950	7.264847
cpo:COPRO5265_1143	0.0
lis:LIL_20263	2.421869
lil:LB_327	60.907192
hyf:DTO96_101282	47.408695
tjr:TherJR_1765	68.314011
lis:LIL_20312	2.703726
lil:LB_353	5.544252
lil:LB_355	9.815441
mey:TM49_15590	3.265636
bcw:Q7M_741	5.594315
lil:LB_002	6.578393
bcoh:BC6307_04420	2.251868
lil:LB_011	2.278944
lis:LIL_20009	3.181667
lil:LB_013	5.534382
mpy:Mpsy_3013	1.381647
acy:Anacy_4400	2.718293
lil:LB_016	1.391219
lil:LB_017	3.232006
lil:LB_020	3.570502
lis:LIL_20018	1.641824
ter:Tery_3252	5.327143
phc:BBI08_16515	13.571554
lyj:FKV23_08795	11.722638
enm:EBS_1368	7.647532
shv:AAT16_01780	7.281557
mka:MK0192	12.916771
tpz:Tph_c17350	3.075512
pcay:FRD00_27810	5.12359
vbr:A6E01_18825	26.110424
lis:LIL_20066	17.237095
lil:LB_079	49.165665
lil:LB_082	34.053535
ipo:Ilyop_2170	798.584473
dat:HRM2_10850	4.41353
roo:G5S37_20100	4.294432
lil:LB_086	4.457736
pof:GS400_07980	5.385838
lil:LB_093	13.206758
lic:LIC_20075	2.365783
wfu:AXE80_12400	0.859852
gsk:KN400_2489	2.171511
got:AXE85_03695	3.949853
lil:LA_3529	2.294322
bbar:RHAL1_02630	12.196497
