reaction	linear_coefficient
rxn25492_c	0.010180105382540794
rxn38710_c	0.017207416933921565
rxn38702_c	0.035928826086248714
rxn13914_c	0.038956810523059895
rxn03140_c	0.038956810523059895
rxn02297_c	0.05086796794026514
rxn31257_c	0.0858308778441619
rxn38489_c	0.0858308778441619
rxn31255_c	0.0858308778441619
rxn31254_c	0.0858308778441619
rxn38492_c	0.0858308778441619
rxn07573_c	0.0858308778441619
rxn31256_c	0.0858308778441619
rxn38484_c	0.0858308778441619
rxn06429_c	0.0689381976438157
rxn11156_c	0.0689381976438157
rxn06081_c	0.013723606882966774
rxn27618_c	0.01927491168378726
rxn01800_c	0.009387837053195935
rxn33463_c	0.009387837053195935
rxn11749_c	0.009387837053195935
rxn03599_c	0.013338325709107287
rxn30339_c	0.022834692670432654
rxn33715_c	0.018265583538183534
rxn35346_c	0.05146488243497702
rxn31870_c	0.05146488243497702
rxn38114_c	0.041051437749957946
rxn30418_c	0.12514041056864247
rxn38077_c	0.020756344929754016
rxn35429_c	0.3520818749626929
rxn35443_c	0.3520818749626929
rxn16485_c	0.018162480125460574
rxn31210_c	0.14940769802638362
rxn19980_c	0.14940769802638362
rxn32365_c	0.047915954439144565
rxn26073_c	0.17471687260216737
rxn16660_c	0.013300340241261987
rxn35413_c	0.013305766736668457
rxn19018_c	0.016534531503519082
rxn34630_c	0.06848779852507855
rxn26310_c	0.2801536783499113
rxn32357_c	0.039016501972531085
rxn03395_c	0.039016501972531085
rxn33220_c	0.039016501972531085
rxn15785_c	0.039016501972531085
rxn06723_c	0.20005317965498345
rxn32810_c	0.014081755579793902
rxn31217_c	0.253515012399542
rxn17745_c	0.253515012399542
rxn31243_c	0.253515012399542
rxn33618_c	0.253515012399542
rxn00321_c	0.008535877274379888
rxn38482_c	0.41330359613850587
rxn31276_c	0.41330359613850587
rxn38486_c	0.41330359613850587
rxn38490_c	0.41330359613850587
rxn38485_c	0.41330359613850587
rxn37965_c	0.41330359613850587
rxn38487_c	0.41330359613850587
rxn30096_c	0.41330359613850587
rxn04023_c	0.024625436154568296
rxn32460_c	0.03631953375551468
rxn16223_c	0.06405435177799122
rxn16221_c	0.06405435177799122
rxn19253_c	0.05469907369723412
rxn33346_c	0.05469907369723412
rxn06741_c	0.018857071537488945
rxn07241_c	0.018857071537488945
rxn34204_c	0.07144523852160559
rxn35234_c	0.03858238234001335
rxn16681_c	0.009718853272990704
rxn32682_c	0.017505874181277508
rxn14089_c	0.05534482665060424
rxn38034_c	0.05534482665060424
rxn11834_c	0.017505874181277508
rxn11838_c	0.017505874181277508
rxn31891_c	0.05534482665060424
rxn05871_c	0.05534482665060424
rxn38318_c	0.05534482665060424
rxn11809_c	0.017505874181277508
rxn03282_c	0.017505874181277508
rxn04726_c	0.05534482665060424
rxn32074_c	0.017505874181277508
rxn03893_c	0.01294761803984133
rxn11643_c	0.01294761803984133
rxn28991_c	0.07833688768782458
rxn30152_c	0.07833688768782458
rxn15783_c	0.026812313803376363
rxn06831_c	0.026812313803376363
rxn03397_c	0.026812313803376363
rxn16584_c	0.026812313803376363
rxn04674_c	0.026812313803376363
