chel:AL346_11035	25.55
abaw:D5400_05875	12.59
fcr:HYN56_01755	12.84
fat:DVK85_06060	23.73
lie:LIF_A2654	10.14
saga:M5M_19155	98.49
lil:LA_3305	57.97
lil:LA_3302	53.53
dol:Dole_0034	27.43
lil:LA_3296	152.0
lil:LA_3294	38.09
lic:LIC_10855	43.22
lic:LIC_10856	56.89
lil:LA_3289	74.94
lil:LA_3288	38.86
lil:LA_3286	224.85
lil:LA_3285	98.76
psl:Psta_4204	9.21
tak:Tharo_1296	1299.99
lby:Lbys_1799	165.94
acm:AciX9_0202	1.04
lic:LIC_10900	36.16
lil:LA_3234	15.23
lil:LA_3219	54.79
lic:LIC_10916	88.65
star:G3545_23690	241.8
lgt:E4T54_05160	24.17
mew:MSWAN_2205	13.72
svl:Strvi_6015	8.91
dfl:DFE_1957	32.35
tah:SU86_008830	164.02
lic:LIC_10955	57.96
bxe:Bxe_C1266	13.86
toq:HCG51_04390	31.34
pfe:PSF113_3716	37.25
lie:LIF_A2534	46.32
lkm:EFP84_15395	395.21
lil:LA_3135	99.24
sbu:SpiBuddy_3010	7.28
nsh:GXM_10276	9.9
aba:Acid345_2395	93.3
cthd:CDO33_11130	46.18
ter:Tery_3412	45.52
kst:KSMBR1_1896	27.53
sen:SACE_4756	1.67
lew:DAI21_21145	43.84
sulz:C1J03_13380	13.05
pib:BBD41_29180	463.67
lil:LA_3095	49.87
lil:LA_3086	102.34
lic:LIC_11012	104.78
vir:X953_15095	152.58
lil:LA_3080	98.29
lst:LSS_15791	5.9
mag:amb1082	94.95
lis:LIL_12594	76.82
lic:LIC_11039	12.07
paco:AACT_2965	13.2
bba:Bd1820	117.04
lys:LBYS11_15145	5.92
bce:BC2176	40.67
ful:C4N20_15045	24.13
lic:LIC_11075	34.1
lic:LIC_11076	14.47
this:HZT40_01845	22.93
lil:LA_2968	49.42
fad:CDH04_06500	18.97
lic:LIC_11101	66.07
ais:BUW96_08720	4.58
pfla:Pflav_041560	64.01
tmr:Tmar_1404	15.07
ppd:Ppro_1380	49.92
lil:LA_2947	156.27
lic:LIC_11117	22.75
kphy:AOZ06_22185	13.79
lil:LA_2935	36.45
psyh:D0S48_12660	7.05
agv:OJF2_49420	5.3
ccz:CCALI_01052	8.53
lil:LA_2924	55.65
cale:FDN13_13375	28.87
lic:LIC_11140	107.73
mfw:mflW37_3950	8.48
gpi:GPICK_07935	2.36
dlu:A6035_03435	23.51
mxa:MXAN_0034	47.1
lic:LIC_11159	47.34
samb:SAM23877_5630	9.92
lic:LIC_11175	17.25
sod:Sant_1609	16.92
baj:BCTU_367	16.93
doa:AXF15_00100	28.36
lil:LA_2841	147.63
lil:LA_2840	24.09
nmv:NITMOv2_0464	119.29
lil:LA_2834	235.62
dal:Dalk_2094	32.91
mbu:Mbur_2108	121.6
pdx:Psed_6431	26.84
vas:GT360_09370	27.28
hht:F506_08165	27.83
dwd:DSCW_59070	9.37
mvz:myaer102_12110	40.04
tph:TPChic_0981	47.48
lic:LIC_11257	38.8
cle:Clole_1194	172.48
lil:LA_2749	44.85
mtea:DK419_27425	22.46
lil:LA_2736	132.57
mos:AXE82_07685	36.55
tmo:TMO_0687	72.6
lil:LA_2727	17.08
mmet:MCMEM_0128	3.88
bbd:Belba_1407	165.29
fnu:FN1094	11.09
lil:LA_2706	42.19
pace:A6070_09145	69.2
lil:LA_2702	26.29
lic:LIC_11303	14.73
lil:LA_2699	13.66
lic:LIC_11308	30.37
lil:LA_2690	202.4
lil:LA_2689	70.09
hhl:Halha_2401	52.71
djj:COP05_06865	52.36
tpx:Turpa_2775	12.64
ngg:RG540_CH38170	75.94
ctc:CTC_01706	30.33
lic:LIC_11343	30.97
lic:LIC_11350	49.85
bcw:Q7M_741	33.47
lil:LA_2633	197.14
lil:LA_2632	101.22
lic:LIC_11357	8.59
lic:LIC_11359	62.14
lil:LA_2623	9.5
lul:LPB138_03425	103.36
hch:HCH_01597	47.03
lil:LA_2616	36.57
metf:CFE53_03355	111.93
dol:Dole_2976	36.33
smur:BWP33_01885	21.31
pom:MED152_04280	24.56
apre:CNX65_15855	52.48
mad:HP15_p187g91	20.7
lil:LA_2570	126.55
lic:LIC_11410	25.33
fnf:BSQ88_05960	16.77
lil:LA_2561	101.43
cga:Celgi_2410	2.13
xce:Xcel_2419	20.45
gur:Gura_3046	63.27
apm:HIMB5_00008340	6.11
meku:HUW50_02925	3.34
rhl:LPU83_pLPU83d0820	83.26
lic:LIC_11437	152.63
dms:E8L03_02300	77.29
lil:LA_2527	11.16
bcoh:BC6307_17615	17.76
lic:LIC_11453	36.32
lic:LIC_11454	18.24
lil:LA_2511	40.79
psu:Psesu_2996	28.55
lil:LA_2508	19.81
lic:LIC_11461	97.93
lil:LA_2506	32.43
fia:NA23_08610	25.14
dfd:Desfe_0908	9.03
lic:LIC_11470	67.09
tnp:Tnap_0551	7.48
htq:FRZ44_08400	136.83
ppse:BN5_0692	17.53
eat:EAT1b_2867	16.76
sok:D0B54_20820	222.13
ecn:Ecaj_0437	104.2
kde:CDSE_0044	116.18
afw:Anae109_2257	6.64
mthr:MSTHT_0740	2.55
brm:Bmur_0931	10.0
bof:FQV39_14950	135.01
lil:LA_2420	37.62
lic:LIC_11534	10.66
roc:HF520_02550	39.34
lis:LIL_11658	29.01
lil:LA_2410	13.67
lil:LA_2409	146.53
lil:LA_2408	87.3
dwd:DSCW_47150	21.2
arca:HC352_05765	6.89
lfs:HFV01_24045	28.24
lil:LA_2396	39.35
lic:LIC_11554	56.83
salx:SALLE_v1c03860	29.45
amyy:YIM_28115	103.6
mka:MK0192	87.25
lic:LIC_11585	5.62
lic:LIC_11586	31.26
lie:LIF_A1928	1841.81
llm:llmg_1854	45.1
lic:LIC_11597	140.31
net:Neut_0908	15.11
rba:RB10127	27.0
efv:CHH26_09260	9.81
metb:AW729_01355	17.15
lil:LA_2335	30.4
lic:LIC_11610	14.73
lic:LIC_11615	34.5
lil:LA_2326	58.67
lic:LIC_11618	17.24
lic:LIC_11626	43.78
lic:LIC_11630	722.3
dat:HRM2_08670	67.75
lic:LIC_11633	388.45
agu:AS4_34150	23.03
lic:LIC_11646	36.33
lil:LA_2286	56.66
lic:LIC_11655	70.96
lic:LIC_11656	10.07
lil:LA_2274	76.05
lie:LIF_A1847	23.11
lil:LA_2261	77.13
ial:IALB_0540	53.29
sdz:Asd1617_00381	15.15
salh:HMF8227_02526	320.97
lic:LIC_11699	117.42
lil:LA_2226	26.7
oac:Oscil6304_5106	43.15
saf:SULAZ_1426	55.43
sfla:SPHFLASMR4Y_01522	25.72
psuu:Psuf_007680	98.92
aka:TKWG_11425	7.48
lil:LA_2202	113.51
lil:LA_2200	124.04
cbei:LF65_02094	494.16
lic:LIC_11735	4.62
lic:LIC_11746	41.08
lic:LIC_11747	74.26
weo:ASM33_05685	4.84
kqi:F1D05_15540	8.83
lis:LIL_11890	25.4
lil:LA_2153	29.0
lil:LA_2152	51.06
csq:CSCA_1240	24.15
lil:LA_2147	28.47
lil:LA_2145	63.61
fbe:FF125_09250	89.26
lic:LIC_11778	47.32
lil:LA_2141	42.02
lil:LA_2140	92.74
lil:LA_2139	339.2
lic:LIC_11786	11.18
baci:B1NLA3E_17845	13.05
lic:LIC_11790	225.83
lis:LIL_11918	38.49
lil:LA_2119	57.36
lic:LIC_11803	19.1
mpli:E1742_16830	19.58
sali:L593_11230	39.88
pmt:PMT_1961	9.28
hcv:FTV88_0636	22.4
lic:LIC_11812	51.23
lic:LIC_11813	60.69
lil:LA_2097	72.49
lil:LA_2096	64.06
lil:LA_2095	246.88
pcay:FRD00_28285	52.78
lil:LA_2092	46.13
lil:LA_2087	68.72
lil:LA_2076	27.44
lic:LIC_11852	33.98
lil:LA_2061	21.32
pbas:SMSP2_01647	20.96
lic:LIC_11855	40.39
lic:LIC_11860	39.57
lil:LA_2051	32.64
lil:LA_2050	26.57
lxy:O159_16300	10.4
lic:LIC_11866	16.96
lil:LA_2047	31.13
lie:LIF_A1650	6.74
ade:Adeh_0371	28.59
hhd:HBHAL_2473	13.98
pts:CUJ90_21645	8.97
len:LEP3755_10520	10.14
slac:SKTS_23530	5.79
lil:LA_2010	60.43
lil:LA_2009	45.64
lil:LA_2001	8.75
gsk:KN400_2489	44.47
fes:HER31_17020	101.72
lic:LIC_11915	58.26
lil:LA_1986	230.55
keu:S101446_00590	27.64
ttr:Tter_0104	25.38
cbut:ATN24_11095	66.57
gsb:GSUB_07665	45.04
lbi:LEPBI_I2850	17.57
axo:NH44784_059261	58.54
rub:GBA63_11955	30.43
lil:LA_1951	113.04
lil:LA_1930	218.15
mjl:Mjls_5689	131.78
deo:CAY53_10930	13.02
lis:LIL_12111	101.26
cct:CC1_05430	16.91
pmy:Pmen_1295	13.04
con:TQ29_11650	33.85
lil:LA_1898	176.77
lil:LA_1897	629.78
lil:LA_1896	293.13
lic:LIC_12184	31.8
lil:LA_1889	6.88
cpeg:CPELA_01210	178.94
bsto:C0V70_02780	17.27
lil:LA_1865	25.04
lkm:EFP84_03100	36.55
lil:LA_1859	761.75
plu:plu4830	256.46
dwd:DSCW_34400	22.03
lic:LIC_12072	56.9
lic:LIC_12074	43.62
lic:LIC_12082	183.51
plut:EI981_14185	20.4
amac:MASE_09290	23.03
synp:Syn7502_00472	4.66
