reaction	linear_coefficient
rxn16800_c	[0.01619266229291137]
rxn34185_c	[0.02874957266348674]
rxn30364_c	[0.019356309114884337]
rxn24829_c	[0.015427526440598869]
rxn33981_c	[0.08302537971901607]
rxn01303_c	[0.08302537971901607]
rxn08040_c	[0.019356309114884337]
rxn16246_c	[0.018162480125460574]
rxn04895_c	[0.018162480125460574]
rxn04832_c	[0.018162480125460574]
rxn04830_c	[0.018162480125460574]
rxn04873_c	[0.018162480125460574]
rxn15652_c	[0.018162480125460574]
rxn11808_c	[0.018162480125460574]
rxn04811_c	[0.018162480125460574]
rxn04894_c	[0.018162480125460574]
rxn04903_c	[0.018162480125460574]
rxn04886_c	[0.018162480125460574]
rxn31883_c	[0.018162480125460574]
rxn04810_c	[0.018162480125460574]
rxn04872_c	[0.018162480125460574]
rxn07181_c	[0.018162480125460574]
rxn04833_c	[0.018162480125460574]
rxn32152_c	[0.018162480125460574]
rxn04809_c	[0.018162480125460574]
rxn04831_c	[0.018162480125460574]
rxn04896_c	[0.018162480125460574]
rxn24149_c	[0.019356309114884337]
rxn06600_c	[0.019356309114884337]
rxn19763_c	[0.006642030377521286]
rxn03541_c	[0.06848779852507855]
rxn16758_c	[0.10913224911955113]
rxn14399_c	[0.009903354116810741]
rxn16149_c	[0.015427526440598869]
rxn24142_c	[0.2150031744998128]
rxn05054_c	[0.2150031744998128]
rxn35544_c	[0.02874957266348674]
rxn37337_c	[0.003695443371807186]
rxn27686_c	[0.019356309114884337]
rxn06983_c	[0.2150031744998128]
rxn15255_c	[0.017505874181277508]
rxn03064_c	[0.009718853272990704]
rxn31801_c	[0.01675159131977795]
rxn28081_c	[0.019356309114884337]
rxn16679_c	[0.020946272268980527]
rxn33490_c	[0.0015302717046250022]
rxn23129_c	[0.0015302717046250022]
rxn16683_c	[0.13451196813561897]
rxn16583_c	[0.015427526440598869]
rxn02011_c	[0.05247963707598721]
rxn06090_c	[0.030741096477661833]
rxn31426_c	[0.0019589648417362615]
rxn35442_c	[0.020387343242113946]
rxn01667_c	[0.020387343242113946]
rxn35242_c	[0.020387343242113946]
rxn35430_c	[0.020387343242113946]
rxn35439_c	[0.020387343242113946]
rxn34708_c	[0.015427526440598869]
rxn38011_c	[0.015427526440598869]
rxn20003_c	[0.04864310482361177]
rxn32053_c	[0.04864310482361177]
rxn30128_c	[0.006815678230528378]
rxn33706_c	[0.020946272268980527]
rxn02341_c	[0.07149407698026383]
rxn27919_c	[0.019356309114884337]
rxn11772_c	[0.019356309114884337]
rxn38134_c	[0.019356309114884337]
rxn38278_c	[0.019356309114884337]
rxn32389_c	[0.019356309114884337]
rxn03869_c	[0.019356309114884337]
rxn06522_c	[0.019356309114884337]
rxn38142_c	[0.019356309114884337]
rxn27933_c	[0.019122969812406056]
rxn27932_c	[0.019122969812406056]
rxn20661_c	[0.01702291609010153]
rxn00598_c	[0.019356309114884337]
rxn07689_c	[0.019356309114884337]
rxn19982_c	[0.019356309114884337]
rxn19979_c	[0.019356309114884337]
rxn07681_c	[0.019356309114884337]
rxn07884_c	[0.019356309114884337]
rxn03866_c	[0.019356309114884337]
rxn19989_c	[0.019356309114884337]
rxn19986_c	[0.019356309114884337]
rxn33120_c	[0.019356309114884337]
rxn07685_c	[0.019356309114884337]
rxn07880_c	[0.019356309114884337]
rxn19988_c	[0.019356309114884337]
rxn33363_c	[0.019356309114884337]
rxn03174_c	[0.12308919530499618]
rxn03421_c	[0.12308919530499618]
rxn00302_c	[0.12308919530499618]
rxn03419_c	[0.12308919530499618]
rxn34304_c	[0.002745806675674649]
rxn33231_c	[0.002745806675674649]
rxn35518_c	[0.002745806675674649]
rxn30731_c	[0.02391999175172698]
rxn03263_c	[0.02391999175172698]
rxn33299_c	[0.016876400714126796]
rxn28988_c	[0.053879672890856906]
rxn34576_c	[0.053879672890856906]
rxn12049_c	[0.053879672890856906]
rxn29959_c	[0.11492774621366283]
rxn33398_c	[0.11492774621366283]
rxn32371_c	[0.019356309114884337]
rxn33083_c	[0.04702058269707675]
rxn27109_c	[0.020946272268980527]
rxn15679_c	[0.014548434184750462]
rxn33738_c	[0.014548434184750462]
rxn07317_c	[0.014548434184750462]
rxn35629_c	[0.014548434184750462]
rxn38829_c	[0.016013587944497806]
rxn32605_c	[0.016013587944497806]
rxn35448_c	[0.11492774621366283]
rxn00407_c	[0.11492774621366283]
rxn32567_c	[0.11492774621366283]
rxn00745_c	[0.253515012399542]
rxn31834_c	[0.10752057998382904]
rxn03513_c	[0.019356309114884337]
rxn04047_c	[0.019356309114884337]
rxn34567_c	[0.025678176263423794]
rxn01669_c	[0.02334478323864099]
rxn24177_c	[0.020946272268980527]
rxn31885_c	[0.020946272268980527]
rxn35431_c	[0.253515012399542]
rxn35428_c	[0.253515012399542]
rxn38060_c	[0.0021434656855562973]
rxn01016_c	[0.0021434656855562973]
rxn30680_c	[0.0021434656855562973]
rxn02118_c	[0.013278634259636098]
rxn02415_c	[0.013278634259636098]
rxn33766_c	[0.013278634259636098]
rxn00921_c	[0.013278634259636098]
rxn14216_c	[0.06921494890954574]
rxn13976_c	[0.06921494890954574]
rxn15005_c	[0.01675159131977795]
rxn33380_c	[0.4139059371286242]
rxn38824_c	[0.13286774002745808]
rxn15633_c	[0.009876221639778382]
rxn14044_c	[0.04788882196211221]
rxn07490_c	[0.04788882196211221]
rxn00519_c	[0.07434298706866145]
rxn00305_c	[0.07434298706866145]
rxn02775_c	[0.04864310482361177]
rxn14270_c	[0.04864310482361177]
rxn32752_c	[0.013528253048333794]
rxn32758_c	[0.013528253048333794]
rxn16213_c	[0.013528253048333794]
rxn00346_c	[0.025689029254236738]
rxn33164_c	[0.014548434184750462]
rxn34626_c	[0.014548434184750462]
rxn31361_c	[0.014548434184750462]
rxn31792_c	[0.014548434184750462]
rxn27667_c	[0.014548434184750462]
rxn30334_c	[0.014548434184750462]
rxn33391_c	[0.014548434184750462]
rxn37937_c	[0.00788469782560329]
rxn38148_c	[0.08005708673167608]
rxn38254_c	[0.00788469782560329]
rxn37661_c	[0.019356309114884337]
rxn33328_c	[0.02874957266348674]
rxn34273_c	[0.01619266229291137]
rxn38499_c	[0.01619266229291137]
rxn31366_c	[0.01619266229291137]
rxn27536_c	[0.01619266229291137]
rxn31098_c	[0.005952865460899388]
rxn27525_c	[0.009518072942951254]
rxn15754_c	[0.026812313803376363]
rxn30860_c	[0.004433446747087328]
rxn33762_c	[0.004433446747087328]
rxn02400_c	[0.004433446747087328]
rxn31973_c	[0.004433446747087328]
rxn29952_c	[0.004433446747087328]
rxn31059_c	[0.004433446747087328]
rxn32982_c	[0.004433446747087328]
rxn30907_c	[0.004433446747087328]
rxn29955_c	[0.004433446747087328]
rxn30908_c	[0.004433446747087328]
rxn32378_c	[0.004433446747087328]
rxn33474_c	[0.004433446747087328]
rxn29956_c	[0.004433446747087328]
rxn04070_c	[0.07149407698026383]
rxn35537_c	[0.2150031744998128]
rxn35538_c	[0.2150031744998128]
rxn35539_c	[0.2150031744998128]
rxn31689_c	[0.017207416933921565]
rxn32991_c	[0.017207416933921565]
rxn02285_c	[0.13451196813561897]
rxn02284_c	[0.13451196813561897]
rxn38130_c	[0.007607946559873237]
rxn15964_c	[0.007607946559873237]
rxn15882_c	[0.11492774621366283]
rxn38274_c	[0.020257107352358625]
rxn38811_c	[0.019356309114884337]
rxn32093_c	[0.019356309114884337]
rxn33327_c	[0.019356309114884337]
rxn32850_c	[0.019356309114884337]
rxn32210_c	[0.019356309114884337]
rxn33082_c	[0.019356309114884337]
rxn38132_c	[0.02397968320119817]
rxn00510_c	[0.03096900928473364]
rxn31104_c	[0.020946272268980527]
rxn14132_c	[0.016534531503519082]
rxn32044_c	[0.020251680856952156]
rxn30045_c	[0.08334011645259143]
rxn01022_c	[0.0747933861873986]
rxn00133_c	[0.11492774621366283]
rxn02020_c	[0.11492774621366283]
rxn00714_c	[0.11492774621366283]
rxn32324_c	[0.11492774621366283]
rxn32021_c	[0.02261763285417379]
rxn15536_c	[0.027474346242965908]
rxn15315_c	[0.027474346242965908]
rxn03540_c	[0.024386670356683543]
rxn02128_c	[0.06026665798427402]
rxn12510_c	[0.06026665798427402]
rxn03047_c	[0.06026665798427402]
rxn38070_c	[0.02825033508609135]
rxn03372_c	[0.003044263923030589]
rxn27688_c	[0.003044263923030589]
rxn15146_c	[0.019356309114884337]
rxn02943_c	[0.019356309114884337]
rxn38359_c	[0.18460937372816513]
rxn33404_c	[0.18460937372816513]
rxn34232_c	[0.18460937372816513]
rxn02405_c	[0.019356309114884337]
rxn11766_c	[0.02874957266348674]
rxn32969_c	[0.02874957266348674]
rxn11765_c	[0.02874957266348674]
rxn38024_c	[0.019356309114884337]
rxn32386_c	[0.019356309114884337]
rxn11773_c	[0.02874957266348674]
rxn33365_c	[0.02874957266348674]
rxn16623_c	[0.06848779852507855]
rxn22826_c	[0.06848779852507855]
rxn22827_c	[0.06848779852507855]
rxn35454_c	[0.017560139135342222]
